stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.07,0,0,0,17.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,53.44,0,0,0,0,0,0,1.21,55.14,0,0,0,0
 24-34,0,0,0,0,0,2.98,0,1.86,0,0.96,0,0,0,0,0,0,1.37,0,0,0,489.92,0,1.35,0,0,0.66,0,0.74,143.9,0,6.4,0,0
 36-46,0,0.73,1.79,0,0,127.15,0,1.24,0,5.72,0,0,0,0,0,1.69,0,4.73,0,3.75,1678.19,0,4.32,1.43,0,1.98,0,0,357.32,0,3.59,0,0
 48-58,0,0,0.83,0,0,508.06,0,0,1.58,24.42,0,0,1.26,0.56,0,0,0,12.39,0.4,4.86,1745.41,0,0.94,0.64,0,0,0.73,0,254.73,0,0,0,0.91
 60-70,0,0,3.51,0,0,1917.21,1.34,14.48,0,39.38,0,0,0,3.19,0,0,0,26.63,0,1.07,2108.34,0,1.15,0,0,0,4.05,0,260.76,0.71,0,0,0
 72-82,0,0,7.42,0,0,1281.95,1.78,0,0,20.02,0.56,0.66,0,0,4.15,0,1.95,20.26,0,0,1567.95,0,2.23,1.07,0,0,0,0,133.45,0.61,0,0,0
 84-94,0,1.05,7.98,0,0,1027.47,0,0.56,0,21.22,0,0,0.62,0,1.43,0.6,0,12.03,0.58,0,1094.31,0,3.65,0,0,1.68,0,0,153.42,0.64,5.85,3.43,0.69
 96-106,0,0,3.33,0,3.86,791.08,0.78,0.71,0,9.56,0,0,0.83,0.74,0,0,0,5.24,0,4.36,772.92,0,1.69,0,0,3.41,0,0,29.08,0,2.05,0.88,2.29
108-118,0,0,3.65,0,0,481.57,6.53,0,1.36,29.35,0,0,0,0.72,0,0,0,17.68,0,0.73,772.72,0,0,0,0,0,0,0,28.2,0,0,0,0
120,0,0,9.95,9.86,0,342.34,0,0,2.81,3.22,0,0,0,0,0,6.12,0,3.49,0,3.2,623.93,3.89,0,0,0,0,0,0,2.5,0,0,0,0
