stage,mesenchyme,mural_cell,pericytes,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 48-58,0,0.71,0,0,0,0
 60-70,0.87,0,0,0,0,0
 72-82,0,3.63,2.81,0,0,0
 84-94,0,6.45,0,0,0.58,1.45
 96-106,2.18,4.91,0,0,0,0.64
108-118,0.87,10.89,0,0,0,2.48
120,0,12.76,0,2.39,0,0
