stage,axial,blastomeres,eye,neural
  3-4,0,23.19,0,0
  5-6,0,37.27,0,0
  7-9,9.52,0,0,15.5
 10-12,0,0,0,4.71
 36-46,0,0,0,0.89
120,0,0,5.89,0
