stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,205.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.95,318.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,36.6,0,0,0,0,0,0
  7-9,6.38,19.66,0,3.2,0,0,0,19.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.84,6.31,0,0,75.18,5.09,0,0,0,0,0,0
 10-12,0,0,0,43.6,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.35,5.32,0,0,24.28,0,4.19,8.6,0,0,0,0
 14-21,0,0,0,1.8,9.68,2.15,0,2.83,0,0,0.99,1.28,0,0,1.08,0,0,0,0,5.04,0,0,38.56,0,0.98,2.62,0.95,1,4.37,0,0,5.76,0,0
 24-34,0,0,0,0.7,2.01,0,0,1.68,0.78,0,0,0,0,0,0,0,0,0,0.67,3.58,0,3.77,28.19,0,12.05,1.81,0,14.62,0,2.28,1.48,7.84,0,7.55
 36-46,0,0,0,0,0.58,0,0,6.01,2.18,0,1.2,0,0,0,0,0,0,0,0,0.72,0,0.98,26.46,0,10.15,0,0,3.89,0,0.59,0,3.07,0,0.98
 48-58,0,0,0,0,0.51,0,0,1.18,0,0,6.75,1.26,2.08,0,0.75,0,0,0,0,1.99,0,1.22,14.76,0.91,3.29,6.17,0,7.77,0,0.53,0,2.59,0,0
 60-70,0,0,0,0,0.79,0,0,3.78,1.14,0,0,1.84,0,0,0.62,0,0,0,0,0.6,0,1.07,11.61,0,4.07,1.19,0,6.96,0,1.95,0,0,0,0
 72-82,0,0,0.57,0,0,0.63,0,22.4,0.49,1.14,3.28,1.77,0.55,0,1.33,0,2.77,0,0.49,5.07,1.76,0,19.46,0,3.97,5.19,0,10.06,0,0,0,2.26,0,2.28
 84-94,0,0,0,0,9.3,0.55,0,15,0,0,2.23,3.71,0,0,0.8,0.75,5.26,0,0,5.23,0,0,5.05,0,2.19,2.38,0,7.75,0,0,0,0,0.78,1.7
 96-106,0,0,0,0,5.66,12.3,0,21.1,0,0,4.74,6.32,0,1.32,2.83,0,3.2,0,0,1.35,0,0.59,11.35,0,24.6,6.01,0,8.33,0,0,0,0,2.36,0.72
108-118,0,0,2.12,1.56,5.67,19.8,1.62,19.18,4.41,0,7.4,3.32,0,0,2.59,0,0,0.89,0,11.89,0,0.68,10.22,1.15,6.03,17.36,0,5.57,0,1.36,0,0,2.21,0
120,0,0,4.41,0,5.9,10.3,0,8.93,0,0,0,2.3,0,2.7,0,0,0,0,0,1.31,0,0,7.42,0,14.12,12.58,0,11.34,0,1.56,0,0,0,0
