stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,muscle,neural,olfactory,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.23,0,0,0,0,0
 14-21,0,2.28,0,0,0,0,1.07,7.22,0,1.73,0.84,0,0
 24-34,0,0,0,0,0,0,0,4.59,0,0,0,0,1.14
 36-46,0,0,0,0,0,0,0,1.69,1.29,0,0,0,0
 48-58,0,0,0,0,0,0.4,0,0,0,0,0,0.43,0
 60-70,0,0,0,0,0,0,0,5.25,0,0,0,0,0
 72-82,0,0,1.59,0,0.68,0,0,0.6,0,0,0,0,0
 84-94,0,0,1.09,0.57,0.59,0,0,5.06,0,0,0,0,0
 96-106,0,0,3.38,0,0,0,0,1.97,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.22,0,0,0,0,0
120,0,0,0,0,0,0,0,5.57,0,0,0,0,0
