stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,iridophores,mesenchyme,neural,otic,periderm,spinal_cord,visceral_smooth_muscle
  7-9,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0
 14-21,0,0,0,0,0,0.84,0,0,0,3.42,0,0,1.74,0
 24-34,0,0,0,0,1.81,0,0,0,0,18.05,0,0,0,0
 36-46,0,0,0,0,13.35,1.33,0,0,0,10.54,0,0,0,0
 48-58,0,0,0,0,37.97,0.71,0,0,0.38,7.5,0,1.1,0.42,0
 60-70,0,0,0,0,52.58,0,0,0,0,4.59,0,0,0,0
 72-82,0,0,0,0,58.8,0,0,1.24,3.26,11.7,0,0,0,0
 84-94,0,1.18,0.57,0,59.49,1.77,0,0,0,21.6,0,0,0,0.57
 96-106,0,0,0,0,63.78,0,0.98,0,0,5.64,0,1.37,0,0
108-118,0,0.53,0,0,93.44,15.08,0,0,3.8,21,0.92,0,0,2.47
120,0,0,0,3.69,119.82,0,3.16,0,0,17.21,0,0,0,0
