stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,9.52,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,22.37,0,166.49,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.62,8.92,0,0,1194.88,0,4.52,0,4.19,70.65,0,0,0,0,0,0,0,0
 14-21,0,0,8.92,605.77,57.07,0,0.85,0,0,0,43.51,79.79,0,0,0,0,0,0,69.68,0,0,44.83,185.44,137.26,1.57,4.23,393.17,0,2,0,1039.08,5.63,10.95,206.46,965.05,0,0,4.47,0,0
 24-34,0,0,0,28.61,0.62,0,10.4,0,11.16,0.74,57.51,19.3,0,0.7,2.44,0,0,4.03,70.72,0,0,40.75,123.27,9.36,0,0.82,0,0,0,0,0,0,1.89,48.37,457.22,0,0,27.85,0,1.4
 36-46,0,0,0,7.23,0,0,6.35,2.94,19.05,11.38,48.35,2.9,0,0,1.04,0.67,0,2,178.4,1.26,0,89.54,133.49,6.49,0,0,0,0,17.02,0,2.07,2.55,6.82,0,993.76,0,0,23.56,0,22.12
 48-58,0,0,0,10.04,0,0,28.8,0.38,9.05,24.12,20.64,0.68,0,0,5.44,0,2.34,6.63,188.71,0.4,5.86,61.67,161.67,7.13,0,0,0,0,6.63,0,0,0.45,0,0,986.67,0,0,4.15,0,8.21
 60-70,0,0,0,12.25,0,0,19.04,3.05,39.53,38.95,20.62,8.61,0,0,0,0,0,1.11,191.71,2.4,8.12,40.26,149.86,5.17,0,0,0,0,1.67,0,0,0,0.62,0,1134.24,0,0,12.07,1.75,22.21
 72-82,0,2.08,0,7.3,0.58,0,38.03,0.51,10.29,58.52,48.84,4.9,0.59,0.89,1.45,0,0,1.17,170.5,1.31,4.92,40.12,194.32,2.61,0,0,0,0,2.75,0,0,0,3.02,0,666.34,1.21,1.66,7.85,10.46,0
 84-94,0,10.27,0,9.55,3.82,0,52.21,0.57,23.01,25.98,21.33,16.67,1,1.11,0.81,0,0,0,129.55,0.57,11.04,27.31,153.32,0,0,0,0,0.96,5.49,0,0,1.29,0,0,445.39,0,2.05,7.65,8.47,0
 96-106,0,4.44,0,10.57,0,3.52,26,0,6.72,16.76,33.63,8.4,0,1.31,1.73,0,0,3.61,105.37,0,16.75,31.54,146.84,1.42,0,0,0,4.36,2.17,0,0,0,0,0,135.48,0,1.26,7.34,6.29,0
108-118,0,1.82,0,9.07,1.1,0,11.75,2.23,12.74,12.1,34.33,13.86,0,0,2.73,0,0.6,0.61,128.71,3.89,6.51,15.87,162.67,3.89,0,1.97,0,1,0.47,0,0,0.62,2.04,0,148.85,0,2.33,18.83,7.66,5.11
120,0,0,0,20.66,0,0,21.2,2.44,14.78,23.37,27.37,11.26,0,0,9.23,0,5.66,0,190.76,0,15.38,34.83,119.89,0,0,0,0,0,3.42,0,0,0,0,0,59.71,0,0,11.31,4.64,0
