stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17,0,5.27,0,0,0,0,52.27,0,0,0,0,0
 24-34,1.77,0,0,0,0,6.88,0,0,0,3.5,0,0,0,0,0,2.41,0,5.4,0,0.66,460.98,0,26.57,1.16,9.71,0,0.91,211.87,0,0,3.76,0,0
 36-46,0,0,0.65,0,0,44.54,0,0,0,5.4,0,0,0,0,0,0,8.41,1.64,0,2.63,1088.17,0,28.53,0,0,0,0,319.58,0,0,0,0,1.39
 48-58,0,0,6.11,0,0,217.03,2.37,0,0.93,35.16,0,0,0,6.38,0,4.78,0.88,9.33,0,0.9,1630.05,0,38.34,1.15,8.31,0,0,365.87,0,0,1.48,0,8.2
 60-70,0,0,0.59,2.2,0,473.34,0,4.8,0,23.01,0,1.17,0,3.44,0,0,0,20.68,0,1.36,1840.47,0,11.54,0,6.18,0,0,244.35,0,0,1.8,0,29.67
 72-82,0,0,15.24,7.35,0,679.58,0,0,2.89,23.05,0.56,3.11,0,5.02,0,0,0.56,30.91,0,1.56,1735.49,0,37.66,1.27,5.17,0.79,0,145.52,6.24,1.74,2.53,0.65,11.78
 84-94,0.66,0,5.89,6.12,0,487.66,0,4.74,3.31,34.92,2.09,1.8,0,0.67,0,0,0,27.09,4.81,4.77,1165.89,0,6.27,0,7.98,0,0,84.36,7.33,0,1.18,0,8.7
 96-106,1.98,0,20.01,3.69,0,429.27,0.78,0,0,34,0,1.27,0,0,4.05,0.7,0,23.77,1.85,2.59,1038.3,0.57,26.98,1.04,12.92,0,0,45.2,2.29,1.03,6.53,0,14.04
108-118,0,0.59,5.25,1.91,0,428.59,0,1.13,1.24,33.94,1.76,2.07,1.01,9.47,0,0,0,14.9,0,0.91,1224.92,0,15.66,1.99,3.83,0,0,51.23,5.98,0,1.59,0,1.42
120,0,0,19.76,0,14.01,398.59,2.75,0,2.17,22.2,0,0,0,0,0,1.23,0,36.02,0,0,2226.79,0,28.89,2.34,0,0,0,46.27,2.39,10.18,4.29,0,4.15
