stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,275.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0
  5-6,273.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.13,23.56,0,0,25.9,0,0,0,3.55,0,0,0,0,0,689.37,8.27,0,174.74,0,0,0,0,0,0,0
 10-12,23.56,114.2,0,14.32,95.92,0,0,0,8.94,0,0,0,0,0,822.27,3.71,0,225.56,0,5.95,0,26.92,0,0,0
 14-21,0,1.3,14.09,2.12,16.06,0,7.17,0.97,0,0,1.88,9.04,0,6.64,259.73,5.76,1.98,10.28,0,0,26.6,1.05,19.27,84.07,0
 24-34,0,0,0.81,0,10.41,0,2.77,0,0,0,0,9.99,0,5.95,99.29,0,0,0,0,0,0,0,0.61,24.36,1.07
 36-46,0,0,0,0,5.01,0,2.59,0,0,0,0,10.46,0.57,2.29,50.59,0,0,0,0,0,0,0,0,21.62,0
 48-58,0,0,0,0,1.85,0,0,0,0,0,0,4.28,0,1.06,7.12,0,0,0,0,0,0,0,0,1.49,1.59
 60-70,0,0,0,0,2.52,1.47,0,0,0,0,0,2.13,0,0,2.75,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.67,0,0,0,0,0.73,0,0,0.54,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0.97
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.96,2.84,0.58,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,6.31,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
