stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.08,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,3.03,0,0,8.35,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,7.72,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,11.06,0,0,0,0,0,0,0,6.71,0,0,1.09,0
 36-46,0,0,0,0,15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,1.07,0.59,1.45,0,0,0,0
 48-58,0,0,1.51,0,91.22,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0.59,0,0.93,0,0,2.43,0
 60-70,0,0,1.05,0,854.82,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,15.16,0,0,0,0,0,1.81,0,1.04,0,0,2.13,0
 72-82,0,0,8.4,6.04,2101.59,0,0,23.37,0,0,0.66,1.71,0,0,0.81,0,7.42,0,0,0,66.18,0,0,0,0,0.83,0,0,0,0,0,5.6,0
 84-94,0,0,2.03,0,1761.73,0,0,21.34,0,0,0,1.89,0,0,0,0,4.57,0.57,1.01,0.87,35.43,0.76,0,0,0,0,0,0,4.25,0,0.64,0,1.16
 96-106,0,0.99,0,7.34,1928.23,0,0,39.26,0,0,0,0,0,0.8,0,21.06,11.94,0,0,0,52.84,0,0,0.6,0,6.02,0,0.57,0,4.97,0,3.3,0
108-118,0,0,3.51,0.84,1522.08,0.43,0,34.09,2.3,0,0,0,0.72,0,0,0,5.86,0,0,0,51.43,0,1.88,0,0,0,0,0,0,0,0,1.1,0
120,0,0,4.84,0,813.76,0,5.18,33.08,3.9,0,0,0,0,0,0,19.69,7.47,0,0,0,37.6,0,1.29,0,0,0,0,0,0,0,0,0,0
