stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,5.29,13.94,266.12,79.8,0,108.87,0,0,0,26.19,9.34,0,7.41,0,0.84,0.96,0.84,2.42,6.84,121.46,0,0,67.45,897.63,25.48,2.39,5.83,8.51,0,33.21,5.88,65.52,10.72,28.82,89.68,252.54,0,0,25.48,0,2.36
 24-34,0,5.39,2.79,73.69,19.73,0,100.35,0,2.64,1.92,34.05,1.66,0,11.71,7.1,8.32,3.05,7.36,1.33,9.4,163.53,0.7,0,56.64,1588.71,8.58,47.85,10.48,0,0,55.73,0,0,4.16,5.58,11.97,381.76,0,0,101.8,0,25.4
 36-46,0,1.59,0,28.12,7.59,0,218.52,0.73,3.68,5.65,92.56,2.7,0,11.93,29.93,5.48,0,3.73,15.14,45.33,213.65,1.63,2.47,59.56,2034.18,2.24,30.65,4.79,0,2.85,91.42,2.86,0,1.98,0.72,0,435.05,0,0,76.72,0,34.38
 48-58,0.39,1.66,0,31.94,10,0,341.53,2.31,10.38,6.3,150.44,1.55,0.8,10.5,15.91,1.15,1.8,3.11,10.64,54.4,246.95,2.06,15.15,43.66,2008.89,36.7,11.55,14.61,4.77,1.11,86.2,0,0,0.37,1.57,0,374.57,0,0.64,30.98,0,88.82
 60-70,0,1.17,0,64.1,6.76,0,525.62,5.24,8.53,6.57,184.94,3.7,1.71,17.05,43.85,5.41,22.37,6.62,4.5,27.33,245.64,0.58,5.37,35.66,2130.83,8.56,18.83,18.5,0,3.43,81.41,0,0,5.97,6.74,0,326.94,0,5.15,39.49,1.76,116.4
 72-82,0,5.73,0,50.57,96.22,1.22,683.14,2.51,15.43,12.88,211.66,9.25,0.52,8.99,32.29,5.51,15.15,4.5,3.08,28.65,397.91,7.45,6.29,33.79,2054.74,2.32,38.69,34.26,0,6.13,40.89,0,0,10.13,0,0,167.82,2.48,23.44,101.64,9.08,115.81
 84-94,0,5.36,0,104.79,72.36,0,529.8,6.74,22.77,8.9,169.81,14.91,0.88,8.66,59.42,17.17,17.49,5.65,3.32,89.42,331,16.07,21.35,28.62,1267.12,1.9,34.93,34.86,0,13.75,142.49,0,0,9.51,0,0,121.8,13.33,15.06,80.94,16.81,33.82
 96-106,0,8.23,1.03,66.29,104.82,3.86,446.47,7.03,5.57,4.63,189.02,18.59,0,13.59,53.2,17.56,9.97,11.89,11.65,13.31,290.19,14.51,12.87,21.71,1146.22,1.32,35.51,27.09,0,10.96,105.98,0,0,7.52,2.16,0,70.77,8.02,16.38,116.15,18.7,45.72
108-118,0,10.41,0,95.92,53.96,8.38,541.03,5.07,19.07,14.16,187.12,26.44,0,5.4,73.48,10.29,34.35,7.9,7.54,44.42,355.21,11.14,17.16,25.84,1676.73,15.19,36.04,36.09,0,20,105.39,0,0,9.46,1.02,0,54.3,14.33,7.45,95.68,15.65,41.03
120,0,0,1.28,72.31,55.47,0,548.35,24.31,46,3.61,233.3,35.68,0,13.64,100.16,14.02,19.94,5.53,9.49,1.55,412.03,1.84,14.74,14.42,1962.76,4.87,24.83,62.38,0,11,90.92,2.5,0,12.21,1.69,0,66.89,8.81,4.25,92.05,10.82,21.49
