stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,303.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,278.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,31.23,4.45,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,135.5,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.25,22.58,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,210.49,12.1,0,0,72.65,0,0,0,7.49,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,9.67,3.61,14.73,0,0,0,1.73,0,0,0,0,0,4.64,0,8,173.05,2.54,0,0.95,3.06,0,4.54,13.16,0.91,2.03,9.16,37.78,0,0,0,0,0
 24-34,0,0,0,3.11,0,17.12,0,0,0,5.01,0,0,0,0,0,17.56,0,6.88,169.59,0.73,0,1.3,0,0,3.04,0,0,0,3.91,23,0,0,3.18,0,0
 36-46,0,0,0,0,0,32.04,0,0,0,3.17,0,0,0,0,0,3.85,0.68,5.69,109.18,0,1.01,1.05,0,0,6.78,0,0,0,0,19.23,0,0,4.81,0,1.52
 48-58,0,0,0,12.11,0,32.3,1.17,0,7.45,8.3,0,0,0,0,0,19.83,0,0.98,79.94,0,0,0,0,0,7.43,0,0,0,0,8.33,0,0,0,0,0
 60-70,0,0,0,0.61,0,33.94,1.1,0,1.46,3.34,0.62,0,0,0,0,20.69,0,2.34,31.97,0,0,2.6,0,0,0,0,0,0,0,0.93,0,0,0,0,0
 72-82,0,0,0,0.93,0,11.4,0,0,0.52,6.13,0,0,0.72,0,0.67,15.1,1.14,0,34.88,0,0,0,0,0,3.53,0,0.73,0,0,8.42,0.92,0.57,3.99,0,0
 84-94,0,0,0,0.69,0,27.34,0,0,0,6.45,1.36,0,0,0,0,11.34,0,1.22,12.73,4.66,0,0,0,0,0.96,0,0,0,0,6.41,0,0,3.03,2.61,0
 96-106,0,0,0,0,0,3.8,0,0,0,0.82,1.66,0,0.58,0.68,0,11.65,0.94,3.2,5.24,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0.67,1.12,0
108-118,0,0,0.61,0,4.48,12.3,0,0,0,7.78,0,0.47,0,0,0,4.76,1.13,1.59,22.92,0,1.3,2.37,0,0,5.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.15,0,22.06,0,5.96,0,28.06,0,0,1.44,0,0,3.71,0,1.82,46.24,0,16.61,0,0,18.18,1.04,0,0,0,0,10.07,0,0,0,0,0
