stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,30.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,0,0,229.05,0,4.19,0,0,72.94,0,0,0,0
 14-21,0,0,11.18,6.83,0,2.05,0,0,0,5.12,0.85,1.58,0,0,0,0,0,1.13,9.66,0,364.02,84.98,1.76,0,0,0,0.91,403.47,0,3017.89,7286.1,14.43,3.26,0,4.43
 24-34,0,0,16.19,1.48,0,21.72,491.8,0,0,6.05,0.66,0,0,0.9,3.13,0,0,6.43,71.93,2.33,400.99,282.32,0,2.07,0,1.99,40.71,8.68,3.78,1132.96,2761.06,39.33,16.97,0,7.57
 36-46,0,0,15.83,0,0,15.02,687.82,0,0.78,6.57,0,0,1.32,0,0.79,0,0,0,63.38,0,175.78,147.71,1.15,0,2.6,5.14,5.64,0,0.59,467.78,111.5,52.73,2.9,0,3.61
 48-58,0,0,0.48,1.93,0,29.89,276.29,0,9.21,4.31,0,0,0.51,0,0,0,0,0,45.86,0,155.77,97.48,0,0,1.07,0,1.33,0,0,137.68,0.83,11.61,1.46,0,0
 60-70,0,0,0,0,0,25.41,192.94,0,2.04,5.21,0,0,0,0,0,0,5.7,0,38.16,0,155.46,31.94,0,0,0,0,0.9,2.75,0,43.4,0,0,0,0.61,0
 72-82,0,0.6,0.89,0,0,18.19,120.64,0,4.23,5.16,0,0,0,0,0,0,0,0,28.79,0,128.95,30.36,0,0,0,0,2.9,0,0,13.31,0,4.71,0,0.74,3.97
 84-94,0,0,3.03,0,1.06,27.61,167.13,0,0,5,0.92,0,0,0,0,0,0,0,28.31,0,118.35,68.8,4.96,0,0,3.85,4.12,0,0,11.83,0,0,0,1.66,0
 96-106,0,0,1.55,11.11,0,20.36,161.09,3.47,0,6.42,0,0,0,0,0.94,1.01,0.59,0,39.68,0,221.86,39.05,0,0,0,0,0.57,0,1.1,12.55,0,0,0.85,2.94,0
108-118,0,0,8.87,0,0,7.77,144.81,0,0,1.34,0,0,0,0,0,0,0,0,26.64,0,222.22,49.93,0,0,1.1,0,0.84,0,0,10.95,0,4.45,0,2.37,0
120,0,0,3.01,3.5,0,22.13,202.26,0,0,2.64,0,0,0,0,0,0,0,0,33.23,0,231.35,37.95,0,0,0,0,4.04,0,0,6.69,0,0,0,0,0
