stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,somites,spinal_cord,vasculature
 14-21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,1.25,3.17,0
 24-34,0,0,0,1.04,0,0,0,0,0,0,0,0,0,6.29,0,0,0,2.59,0,1.78,0
 36-46,0.9,0,0,0,0,0,0,0,0,0,4.47,0,0,3.08,1.48,0,0,1.63,0,2.03,0
 48-58,0,4.72,0,0.78,0.43,0.64,0,0,0,0,0.64,0,0.4,0,0,0,0,0,0,0,0.73
 60-70,0,0.69,0,0,0,0.63,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0.96,1.11
 72-82,1.2,0.6,0,0,0,2.19,0,0,0,0,3.59,0.94,0,1.09,0,0.61,0,6.5,0,0,1.89
 84-94,0.81,0,0,0,0,1.69,0,0,1.59,0,0,0,0.91,0,0,0,0,0.65,0,0,0
 96-106,0.67,0,2.82,0,0,2.27,1.1,0.87,0,0,2.92,0,0,0,0,0,1.47,1.44,0,0,0
108-118,0,0,0,0,0,7.56,0,0,0,0.42,0,0,0,2.29,0,0.48,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,15.97,0,0,0,0,4.58,0,8.58,0,0,0
