stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,neural,notochord,pronephros,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0
 24-34,0,0,0,0.62,0,0,0,4.67,0,0,0,0,0.87,0
 36-46,0,0,0,0,0,0,0,2.46,0,12.97,0.61,0,1.02,0
 48-58,0,0,0,0,0,0,0.37,5.3,0,18.62,0,0,0.94,0
 60-70,0,0,0,0.62,0,0.68,0,6.57,0,14.79,0,0.65,0,0.9
 72-82,1.6,2.57,0,6.29,0,0.56,0,8.52,0.96,41.33,0,1.45,2.42,1.02
 84-94,4.79,0.97,0,15.04,0.67,0,0.66,15.35,0,56.39,0,0,0,0
 96-106,3.69,1.11,0,10.84,1.19,0,0,4.2,0,26.04,0,0,0,2.46
108-118,0.79,0,0.81,8.54,2.41,0.53,0,15.64,0,42.5,1.81,0,5.95,0
120,0,0,1.71,0,0,0,0,1.35,0,39.6,0,0,0,0
