stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.61,138.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0,0,0,0,0,0,0,11.43,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.41,0,0,8.61,0,0,5.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,3.15,11.69,0,0,0,0,0,0,1.18,0,0,5.32,2.13,0,0,0,0
 24-34,0,0,1.8,0,2.21,0.72,3.01,0,1.51,0,0,1.75,0,0,0,0,0,0,8.83,1.52,5.04,16.4,1.29,0,0,0,0,0,0,0,0,2.88,0.93,0,0,0,0
 36-46,0,0,0.84,0,0.88,2.15,0,0.81,0,0.72,0,0,0,0,0,0,0,0,25.87,0,4.72,34.39,0,0,0,0,1.83,0,0,0,0.74,1.18,3.72,0,8.05,0,2.83
 48-58,0,0,0.38,0,0,0.62,0,2.67,6.25,0,0,0,0.37,0,0,0,0,0,19.74,0,7.51,23.46,0,0,0,0,0,0,0,0,2.19,0,2.88,0,1.73,0,11.85
 60-70,0,0,8.53,0,14.38,0,0,0,28.33,0,0,0,0.92,0,0,0,0,0,43.64,0,1.69,23.46,0,2.14,0,0,0,0,0,0,0,0,13.63,0,7.44,0,0
 72-82,0,0,1.96,0,12,0.76,0,2.12,20.35,0.53,0,0.51,2.14,0,0,0.6,0,0,55.99,5.96,3.66,33.1,0,6.76,0,0.71,0,0,0,0,0,0,3.67,0.73,9.56,0.53,1.16
 84-94,0,0,11.13,0,10.09,0.7,0,1.73,25.76,0,0,0,7.45,0.86,1.9,0,0,2.26,58.59,0.71,1.55,82.31,0,0.91,0,0,0,0,0,0,0,0,13.57,0,11.63,0,9.96
 96-106,0,0,1.52,6.8,15.59,0.64,0,1.07,14.93,0,0,0,4.63,0.85,4.21,0,1.54,0,44.75,0.69,0.61,64.14,3.64,2.71,0,1.16,0.72,0,0,0.57,0.64,0,0,0.93,11.1,1.12,0.79
108-118,0,0,2.97,0,22.19,0,0,3.35,50.63,0,0,0,2.01,1.01,2.31,0,0,3,48.54,4.84,4.38,73.43,0,2.49,0,5.43,0,0,0,4.29,0.44,0,4.72,1.52,9.07,1.71,3.59
120,0,0,3.48,6.81,15.99,0,0,0,36.16,0,5.2,0,10.67,2.99,0,1.69,3.79,1.51,32.76,0,9.62,136.5,0,15.09,0,0,0,0,0,0,0,0,24.96,0,19.69,0,4.3
