stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.28,408.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.85,295.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.69,0,0,0,17.11,17.45,0,0,0,0,0,0,0
  7-9,21.9,28.1,0,15.51,0,0,20.4,0,0,0,0,6.16,0,0,0,0,0,0,0,379.26,16.2,0,0,126.99,0,0,0,0,0,0,0,0
 10-12,0,50.89,0,31.92,0,0,33.65,0,0,0,0,3.83,0,0,0,0,0,0,0,579.3,21.39,0,0,361.24,0,10.32,42.53,0,0,0,0,0
 14-21,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,1.13,0,4.55,29.25,0,0,0,0.82,0,0,0,0,14.73,0,0,0
 24-34,0,0,0,0,9.27,0,5.02,0,0.68,2.06,0,0,0.6,0,0.94,0,10.86,0,4.16,91.71,0,2.31,0,0,0,0,1.06,0.73,18.93,0,0,0
 36-46,0,0,0,0,8.03,0,51.11,0.58,2.88,7.62,0,0,0,0,0,1.47,14.15,0,3.7,122.85,0,3,0,0,0,0,0,0,29.39,0,0,0
 48-58,0,0,0,0,0.44,0,72.67,0,0.56,5.51,0,0,0.42,0,0,0,13.87,1.11,3.05,121.88,0,5.32,0,0,0,0,0.61,0,17.34,0,0,0
 60-70,0,0,0,0,3.49,0,99.32,0.9,0,6.5,0,0,0,0,0,0,24.7,0.87,1.72,121.55,8.75,2.68,0,0,4.33,0,0,0,14.33,1.19,0,1.44
 72-82,0,0,0,0,1.17,0,61.57,0,0,10.08,2.3,0,0.8,0.81,0,0,17.63,0,0.74,84.69,0,2.37,0,0,0,0,0,0,10.43,1.73,0.77,1.16
 84-94,0,0,2.16,0,0.77,0,64.09,0,0,7.69,0,0,0.57,2.56,0,0,12.15,3.76,0.98,64.21,0,2.89,0.61,0,0,1.4,0,0,1.19,0,0,0
 96-106,0,0,0,0,1.78,1.97,72.89,6.32,0,6.49,0,0,1.23,0,0,0,6.01,0,0,45.92,0,6.05,2.13,0,2.36,0,0,0,6.05,2.98,0,0
108-118,0,0,0,0,1.35,1.17,18.78,0,0,0,0,0,0,0.74,0,0,17.97,2.69,0.87,19.55,0,0,1.12,0,2.28,0,0,0,0,0,0,0
120,0,0,0,0,0,0,41.91,0,0,3.63,0,0,2.04,0,0,0,18.28,0,2.81,37.61,0,5.91,1.05,0,0,0,0,0,1.81,3.24,0,0
