stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,21.48,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,4.31,0,3.59,0,5.06,0,0,0,0
 24-34,0,0,0,0,0,0,1.25,0,0,0,0,0,6.09,2.53,0,0,0,0,0,77.68,3.15,7.68,2.2,23.01,0,0,0,0
 36-46,0,0,0,2.96,0,0,8.1,0,0,1.98,0,0,3.43,0.6,0,0.83,0.95,0,0,171.45,4.72,1.71,6.55,29.05,0,0,0,0
 48-58,0,0,0,1.61,0,0,9.86,0,0,6.96,0,0,0,2.93,0,0.42,0,0,0,205.27,1.5,2.96,3.24,37.54,0,0,0,0
 60-70,0,0,0,0.76,0,0,94.02,0,0,0,0,0,0,19.3,0,4.97,0,0,0,312.98,0,6.22,16.91,51.08,0,0,2.72,0
 72-82,0,0,0,0.96,8.11,0,185.66,0,0.83,5.23,0,0,0.63,6.54,0,3.69,0,0,0,329.16,0,3.89,15.08,23.74,0,0,0,0
 84-94,0,0,0,14.3,0,0,182.54,0,0,11.96,0,0.67,0.92,17.15,2.07,21.83,0,2.35,2.52,157.33,0,11.43,37.48,38.95,0.57,0,0,0
 96-106,0,0,0,7.14,0,0.97,203.26,0,0,15.01,0.7,1.61,2.22,15.48,0,13.49,0,0,0,201.03,6.25,11.5,54.75,3.5,2.35,0,0,0
108-118,0,0,0,10.84,0,0,154.42,0.99,0,6.82,0,2.8,0.89,18.38,5.13,18.19,0,0,1.15,193.02,4.75,8.16,21.77,6.75,0,0,0,0.85
120,0,0,0,6.2,0,0,137.43,2.34,0,2.67,1.68,1.01,1.65,48.94,0,17.32,0,0,2.38,384.9,5.07,7.22,43.03,18.39,0,5.29,0,0
