stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,141.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,0,0,0
  5-6,37.65,289.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02,13.91,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
  7-9,17.67,12.82,0,16.97,0,0,47.95,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,295.76,19.16,0,0,62.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.58,0,3.95,0,7.16,22.27,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,221.99,0,0,0,35.1,0,0,0,18.94,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,7.64,1.44,8.66,0,0,0.84,0,2.41,0,0,0.97,0,0,0,0,4.8,0,0,4.16,50.11,0,0,0.88,1.02,0,0,8.04,0,7.15,12.52,0,0,0,0,0.85
 24-34,0,0,0,1.41,1.58,0,8.07,0,0,1.72,0,0,0,1.04,0,0,0,0,0,5.8,0,0,6.43,70.32,0,3.17,1.68,0,0,2.85,0,0,0,12.82,0,0,0.88,0,0
 36-46,0,0,0,0,0.59,0,21.18,0,0.74,3.5,0,0,0,10.89,0,0,0,0,0,9.38,0,0,3.64,110.66,0,0,0.58,0,0,4.74,0,0,0,15.79,0,0,0,0,0
 48-58,0,0,0,0,0,0,21.82,0,0.41,8.37,0,0,0.65,0,0,0.43,0,0,0,13.97,0,0,2.57,50.92,0,6.77,0,0,0.59,5.79,0,0,0,16.77,0,0,0,0,2.96
 60-70,2.52,0,0,0,3.07,0,33.02,0,0,8.35,0,0,0,0.78,0,0,0,1.51,0,9.61,0,0,0,75.25,6.46,0,0.86,0,0,5.82,0,0,0,11.59,0,0,2.37,0,0
 72-82,0,0,0,0,3.03,0,37.94,0,0,14.55,0,0,0,0,0,0,0,0,0,17.39,0,0.65,5.3,83.73,0,3.72,0,0,0,5.14,0,0,0,8.2,0.5,2.73,5.26,0,1.98
 84-94,0,0,0,0,2.29,1.38,41.31,2.09,0,7.59,2.64,0.76,0,3.19,0,0,0,0,0.58,9.03,0,2.39,3.48,48.89,0,2.5,0,0,0,3.36,0,0,0,3.33,0,0,1.53,0,4.4
 96-106,0,0,0.94,0,0.58,6.48,35.92,0,0,7.86,0.9,0,2.92,3.26,0,0,4.53,1.12,0,18.3,2.28,0,0.81,33.05,0.71,5.85,1.17,0,0,3.9,0,0,0,9.46,0.62,0,0.65,0.76,0.63
108-118,0,0,0,0,5.56,5.93,49.32,0,2.5,20.18,1.42,0,0,1.35,0,1.13,0.6,3.69,0,41.26,0,0,4.51,79.03,0,0.64,0,0,0,4.75,0,0,0,6.05,0,0,5.86,0.73,0.99
120,0,0,0,0,11.91,33.35,58.36,4.75,1.83,47.1,4.24,0,0,5.99,0,3.12,1.69,0,0,58.19,0,26.05,10.52,219.1,0,0,6.27,0,0,28.22,0,0,0,15.53,0,7.39,3.36,0,9.75
