stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,liver,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0
 14-21,0,0,0.98,0,0,0,0,0,1.34,0,0,0,0,0,1.07,0
 24-34,0,0,0,0,1.07,0,0,0,0,1.7,0,0,0,0.64,0.77,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,2.76,0
 48-58,0,0,0,0,1.25,0,0,0,1.83,0.9,0,0,0,0,0.58,0
 60-70,0,1.4,0,0,3.51,0,0,0,0,0,0,0,0,1.64,0,0.85
 72-82,0,0,0,0,2.43,0,0,0.88,1.41,5.59,0.49,0,0,0,0,0
 84-94,0,0,0.57,0,2.94,0,0,4,0.97,1.1,0,0,0,3.5,3.18,0
 96-106,1.06,0,0,0,0.82,0.82,3.88,1.2,0,1.96,0,0,0,1.87,0,0.56
108-118,0,0,1.59,1.09,0.45,3.47,4.6,3.19,1.47,3.9,0,0,0,1.02,0,0.47
120,0,0,0,1.71,0,0,0,0,0,0,0,0,9.96,1.08,0,0
