stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,1.02,0,0,0,0,1.05,0,0
 36-46,0,0,0,0,4.38,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0
 48-58,0,0.46,0,0.63,1.46,0,0,0,5.61,0.42,0,8.2,0,0,0,0.68,0,0,0
 60-70,0,0,0,3.62,2.23,0,0,0,0,0,2.21,13.37,0,0,4.7,0,0,0,0
 72-82,0,0,0,0,4.05,0,0,0,0,0,5.24,3.38,0,0,0,0,9.44,0,0
 84-94,0,0,0,0,0,0,0.92,0,0,3.39,0.67,10.4,0.76,0,0,0,0,0,0
 96-106,0,1.37,6.3,1.32,0.76,0,0,0.76,0,6.25,3.21,11.31,0,4.94,0,0,0,0.68,2.2
108-118,0,0,0,5.74,7.62,0.78,0,0,0,0,2.09,12.4,0.52,2.06,0.67,0,0,0,0
120,0,0,0,6.65,11.11,0,0,1.4,0,6,1.11,10.34,0,2.09,1.6,0,0,0,0
