stage,endoderm,epidermis,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,neural,periderm
  7-9,5.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.76,0
 24-34,0,0,0,0,0,0,0,0,6.85,1.22
 36-46,0,0,0,0,0,0,0,0,6.13,0
 48-58,0,0,0,0,1.03,0,0,0.51,2.12,0
 60-70,0,0,0,0,0,0,1.4,0,0,0.68
 72-82,0,0,2.81,0,0,0,0,0,7.15,0
 84-94,0,0,0,0,0,1.76,0,0,3.13,0
 96-106,0,0,4.07,0,0,0,0,0,0.61,0
108-118,0,0.67,0,1.12,0,0.56,0,0,2.26,0.72
120,0,2.69,0,0,0,0,0,0,8.61,0
