stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,29.27,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.26,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.27,0,0,0,69.8,0,0,5.47,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,3.6,0.98,4.77,0,0,0,1.75,0,0,0,6.71,0,0,3.99,2.58,0,1.88,56.9,6.72,0,0,0,0,0,0,2.19,0,3.67,20.4,30.58,0,0,0,0,0
 24-34,0,0.71,0,1.55,0,11.49,0.67,0,0,1.03,0,0,4.69,0,0,0,1.3,5.44,0,3.35,79.42,0.83,0,0,0,0,0.68,0,0,10.59,3.28,9.3,12.05,0,0,0.64,0,0
 36-46,0,0,0,0,0,19.14,1.51,0,0,2.17,0,0,2.91,0,0,0,2.29,7.31,0,1.8,120.32,0,1.86,0,0,0,0,0,0,1.9,0,0,36.37,0,0,3.2,0,0.66
 48-58,0,0,0,0.41,0,52.48,2.94,0.81,0.44,7.34,0,0,3.03,0,0,0,0,4.72,0,3.41,155.88,0,0,0.38,0,0,0,0,0,0,0,0,45.83,0,0,0.5,0,0
 60-70,0,0,0,10.39,0,21.9,4.24,0,0,29.44,0,0,4.64,0,0.93,0,0,24.45,0,2.04,171.19,1.03,4.94,0.62,0,0,0,0,0,2.1,0,0,57.52,0,0.65,2.7,0,2.18
 72-82,0,0.69,0,0,3.84,17.76,1.21,0,0,20.5,0,0,5.93,0,2.95,0.53,0,15.72,1.46,6.07,233.61,0,0,0,0,0,0.56,0,0,2.21,0,0,39.91,0,0,0,0.91,0
 84-94,0,5.21,0,2.61,0,40.02,0,0,0,27.33,0,0,10.28,1.75,1.02,0,0,9.54,0,3.52,162.55,0,0,5.51,0,0,0,0,0,11.33,0,0,27.8,0,0.68,0.65,0.78,0
 96-106,0,1.28,0,4.48,8.53,27.27,0,0,0,32.24,0,4.12,11.72,0,0,0,0,15.54,0,3.54,181.2,0,0,3.58,0,1.45,1.57,0,0,11.27,0,0,19.39,0,0,0,0,0
108-118,0,4.54,0,3.75,0,26.27,1.02,0,0.62,28.08,0,0,24.88,0,2.15,0,0,15.73,2.02,0,224.51,0,0.58,5.57,0,0,0,0,0,5.9,0,0,40.58,0.71,0,0,1.07,0
120,0,0,0,0,0,33.74,0,0,0,39.52,0,0,15.71,0,1.91,0,0,27.46,1.45,1.12,278.05,0,2,0,0,0,0,0,0,9.8,0,0,20.28,0,0,13.33,0,0
