stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0.96,6.86,0,0,0,0,0.89,0,0.81,6.34,0,0,0,0
 24-34,0,0,3.98,0,7.07,0,0,0,0,0,0,0.99,0,2.02,52.8,0,0,0,0,7.49,0,0.67,18.39,0,0,0,0
 36-46,0,0,0,0,16.79,0,1.51,0,0,0,0,5.78,0,2.49,75.49,0,0,0,0,0,0,0,21.34,0,0,0,0
 48-58,0,0,0,0,15.24,0,0,0,0,0,0,3.43,0,0.44,100.93,0,0.62,0,0,0,0,0,10.24,0,0,2.44,0
 60-70,0,0,0,0,27.99,0,6.02,0,0,0,0,2.28,0,0,70.66,0,1.02,0,0.84,0,0,0,4.26,0,0,0,7.94
 72-82,0,0.53,3.94,0,30.42,0,0.55,0,0,0,0,2.71,0,0,82.86,0,0,0,0,0,0,0,7.06,0.76,0,0,0
 84-94,0,0,0,0,4.7,0,2.55,0.67,2.02,0,0,1.14,0,3.6,30.63,1.52,0,0,0,1.46,0,0,0,0,0.71,0.72,0
 96-106,0,0,0,5.13,27.88,1.01,4.1,0,0,0.56,0,3.74,0.76,0,18.24,0,0,0,0,4.96,1.05,0,0,0,0.75,0,0
108-118,0,0,6.15,0,13.28,1.06,2.25,0.43,1.1,0.47,0.46,0.69,0,0,37.42,0,0.95,7.44,1.22,0,0,0,6.24,1.23,0,0,0
120,0,0,2.85,0,13.67,0,10.13,0,0,0,0,2.65,0,0,49.6,0,0,0,0,0,0,0,17.34,0,0,0,0
