stage,eye,glial,mesenchyme,neural,notochord,spinal_cord
  7-9,0,0,0,8.9,0,0
 36-46,0,0,0,3.66,0,0
 48-58,1.44,0,0,1.17,0,1.37
 60-70,0.73,0,0,0,0.7,0
 72-82,0,0,6.04,10.81,0,0
 84-94,0,0,0.96,0,0,0
 96-106,0,0,1.64,0,0,0
108-118,0,0.99,0.46,0,10.49,0
120,0,0,3.91,12.89,4.18,0
