stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.82,131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.62,0,5.28,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.89,4.77,0,0,25.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,7.08,0,0,15.46,0,4.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.48,3.25,0,0.91,0,0,0,1.24,1,0,0,0,0,0,0,0,0,2.54,0,0,2.16,25.23,0,1.04,0,0,2.63,4.2,0,0,0.99,23.12,0,0,5.32,0,0
 24-34,0,0,0.8,0,15.94,0,0,11.39,0,3.75,0,5.87,0,0,0,0,2.48,0,1.23,0,0,15.27,0,0,7.15,199.71,0,3.39,3.85,0,23.17,0,0.94,0,0,71.68,0,0,7.3,0,0
 36-46,0,0,0,0,8.24,0,0,21.63,1.3,4.45,0.72,11.98,0.59,0.76,10.46,0,2.21,0,0.57,0,7.71,28.26,0,0,3.29,294.31,1.11,9.78,1.61,0,42.29,0,0,0,0,49.29,0,0,3.99,0,0.64
 48-58,0,0,0,0,11.63,1.67,0,76.9,0.57,1.07,0,17.04,0,0.37,0.87,4.52,1.79,0,0.58,0,9.55,28.98,0.65,0,0.41,270.83,0,6.08,0.38,0,14.4,0,0,0,0,57.73,0,0,3.67,0,16.17
 60-70,0,0,0,0,6.26,8.07,0,123.66,1.74,12.46,1.83,12.94,0,4.48,0,23.66,7.71,4.22,0,1.41,9.25,32,0.85,0.95,1.98,296.46,0,1.71,3.21,0,19.63,0,3.6,0,0,36.67,0,0,18.9,0,0
 72-82,0,0,0,0,5.63,124.55,0,170.24,0,3.35,0,21.34,0,0,0.66,3.93,0,0.59,2.22,3.06,1.8,29.44,3.11,0,5.32,238.21,9.68,0.92,1.76,0,16.28,0,1.36,0,0,25.89,0.94,0.52,17.39,0.86,2.08
 84-94,0,0,0,0,13.6,115.95,0,54.67,0,2.86,1.85,20.4,7.47,4.36,0,5.15,5.57,0,0,0,8.93,42.77,0.85,0,4.02,166.62,9.22,6.99,0,0,59.66,0,0.67,0,0,14.79,3.4,1.31,11.74,0.6,18.6
 96-106,0,0,0,0,10.97,127.63,0,142.3,1.61,3.62,0,23.46,3.95,0,0,5.58,1.87,5.05,0,0,0.69,34.64,4.39,3.4,4.28,195.18,3.96,1.96,3.55,0,43.32,0,0,0,0,26.56,1.17,0,6.08,2.31,2.65
108-118,0,0,1.44,0,29.5,34.14,1.93,99.63,1.85,7.5,0,44.02,8,0,0,2.86,6.86,5.43,1.52,0.99,3.4,46.51,3.89,1.22,4.62,192.9,0.58,2.17,3.15,0,47.19,0,1.39,0.94,0,14.84,0.44,1.94,10.18,2.13,4.67
120,0,0,0,0,88.43,96.94,0,138.55,1.01,13.42,0,70.35,5.83,0,0,6.56,0,0,0,13.96,1.51,103.69,0,2.75,0,399.02,3.99,16.61,3.63,0,50.9,0,0,0,0,24.01,0,0,54.05,0,2.78
