stage,blastomeres,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,vasculature
  3-4,9.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,14.49,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.54,13.24,0,0
 14-21,0,0,0,0,0,0,1.31,0,0,0,1.03,0
 24-34,0,0,0,0.7,1.72,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.43,0,1.84,0,0,0
 60-70,0,0,1.79,0,0,0,0,1.58,0,0,0,0
 72-82,0,0,0.81,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,0,0,0,0,0,0,0
 96-106,0,0,15.86,0,0,0,0.83,0,0,0,0,0
108-118,0,2.59,8.14,0,0,0.67,0,0,0,0,0,0.54
120,0,0,3.92,0,0,4.17,0,0,0,0,0,0
