stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0
 14-21,0,47.43,0,0,0,0,0,0,0,0.95,0,0,0,12.54,0,0,0,0,0,0,0,0
 24-34,0,8.24,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,1.06,0,0
 72-82,0,0,0,0,1.58,0,0,0,388.61,0,0,0,0,2.88,0,1.08,0,0,0,3.76,0,0
 84-94,0,1.18,0,0,0,0,0,0,101.25,0,0.77,4.81,0,1.96,0,0,0,0,0,0,0,0
 96-106,0,9.27,17.66,0,9.24,1.81,8.6,1.5,1469.71,0,20.66,0,3.09,39.22,0,0,1.53,18.26,0.68,3.77,4.04,0
108-118,0,1.46,39.72,0.5,25.93,0,15.3,12.21,1247.55,0,8.95,0,0,53.96,0,2.41,0,6.87,0,0,2.66,1.2
120,0,1.69,1.73,0,17.54,0,0,2,2678.48,0,28.59,0,3.6,50.01,6.51,0,0,2.39,0,3.48,0,3.69
