stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,193.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0,0
  5-6,63.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.14,0,0,0,0,0,5.76,0,0,0,0,0,0,0,29.85,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.14,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,65.13,0,0,0,0,0,0,3.15,0,4.24,121.76,0,0,0,0,0,2.43,5.55,8.37,98.09,0,0,0.91,0,0
 24-34,0,0,0,0,13.53,0,0,0,13.65,0,0,2,0,0,0,2.18,0,0,688.54,3.99,0,0,0,0,0,1.16,1.26,199.84,0,0,8.4,0,0
 36-46,0,0,1.58,0,35.51,0,0,0,16.36,0,0,0,0,0,0,2.37,0,2.53,1052.27,5.48,0,0,1.47,0.81,0,0,0,190.53,0,0,0,0,0
 48-58,0,0,2.38,0,241.19,0.65,4.31,0,42.45,0,0,0,1.13,0,0,17.1,0.71,7.32,1050.54,0,0,0,2.84,0,0,0.68,0,155.54,0,0.4,0,0,0
 60-70,0,0,4.95,0,492.73,0,0,0,30.07,0,0,0,6.93,1.28,0,21.31,0,5.02,1085.53,0,0,0,2.82,0,0,0,0,112.35,0,0,0.76,0,0
 72-82,0,0,5.14,1.96,768.28,0,0,0,29.18,0.85,0,0,0,0,0,20.35,0,0,1099.77,1.41,7.86,0,0,0,0,0,0,69.11,0,0.87,8.08,0,6.37
 84-94,0,0,10.6,1.05,586.7,0,0.81,0,44.24,0,0,0.85,0.65,4.06,0.58,23.83,0.63,0,681.64,1.54,1.05,0,0,0,0,0,0,27.77,0,1.21,19.39,0,0.64
 96-106,0,2.46,3.17,11.31,464.43,0,0.62,1.4,16.42,0,0,0,0,0,1.83,10.83,0,2.92,581.75,1.82,1.77,0,1.33,0,0,0,0,24.86,0,0,6.08,0,0
108-118,0,0,5.87,0,410.77,0,0,0,24.9,0.52,0,0,0,0,1.68,9.43,0,1.56,758.67,0,0,0,3.38,0,0,0,0,15.39,3.42,0,14.24,0.92,0
120,0,0,19.3,0,429.23,0,0,0,6.91,0,0,0,8.92,0,0,5.65,0,1.12,773.68,0,0,0,0,0,0,0,0,44.99,12.35,0,2.43,0,0
