stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,55.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,5.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,0,0,21.6,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0.76,0,0,0,0,0,0,0,1.27,0,0,0,0,6.46
 36-46,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,12.86,11.54,1.1,0,0,0.99,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,26.98,0,0,0.64,0,0,0,0,0.38,0,0,0,0,0.39,0,0,0,0.43,0,0,0,9.84,6.87,0,0,0,7.1,0,0,0.72,0,0,0,0,1.51
 60-70,0,0,0,0,115.37,0,0,11.74,0,0,0,0,86.31,0,0,0,0,0,0,0,0,6.88,0,0,0,13.18,2.62,0,0,0,3.96,0,0,0,20.9,0,0,0,13.98
 72-82,0,0,2.59,0,197.32,11.54,0,41.77,1.52,24.24,2.67,15.02,210.08,7.52,0,0,2.25,0,1.99,19.92,0,16.62,6.65,0,2.09,132.97,58.63,2.83,0,1.67,10.32,0.49,0,2.28,598.72,0,9.08,0.77,15.62
 84-94,0,0,0,0,859.03,5.73,0,67.46,0,0,0,5.59,586.96,0,0,0,9.31,1.52,0,2.43,0.73,10.57,3.37,1.94,2.76,145.76,6.13,7.82,0,0,30.92,0,0.63,5.96,1668.5,0,0,3.28,22.96
 96-106,0,0,10.3,2.15,803.45,14.36,0.66,101.37,0,1.45,0,20.57,1287.74,0,6.47,3,26.57,0,14.27,52.56,0,35.11,21.57,2.39,6.94,300.47,38.67,7.99,0,2.56,36.44,0,0,10.68,1919.71,1.98,13.19,4.6,44.28
108-118,0,0,0.75,0,1309.71,3.85,10.98,72.71,0,1.77,0,16.56,1899.83,0,0,2.22,2.6,1.26,3.88,12.4,1.73,37.97,14.41,15.01,0.98,242.71,12.82,2.05,0,2.43,12.19,2.63,0,9.95,1779.02,0,7.21,0,25.67
120,0,0,0,0,154.32,0,0,20.98,0,0,0,5.41,722.5,0,0,0,6.54,0,0,0,0,11.15,80.77,1.38,5.44,178.74,38.16,11.33,0,0,2.03,0,0,0,803.74,0,5.8,0,17.72
