stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.81,0.96,1.76,0,0,0,0,0.81,0,0,0,0,0,0,0,2.42,1.34,0,0,0.89,38.26,0,5.96,0,0,0,0,4.02,0,2.77,7.52,0,0,0,0,0
 24-34,0,0.68,0.73,0,4.67,0,0,0,1.45,0,0,0,0.9,0,0,0,0,5.28,6.84,0,0,4.46,46.79,0.7,95.71,7.26,0,0,0.86,0,0,0.61,10.02,0,0,2.75,0,0
 36-46,0,0,0.56,0,20.87,0,0,0,3.07,0,0,0,0,0,0,3.34,0,11.38,8.18,0,0,9.03,95.35,0,136.52,0.65,0,1.31,0,0,0,0,18.67,0,0,0.88,0,1.13
 48-58,0,0,8.07,0.58,58.14,1.08,0,0,7.41,0,0,0,0.81,0,0,0,0,0.78,6.48,0,0.5,5.79,168.9,0.55,136.19,0,0,5.14,0,0,0,0,24.07,0,0,0.77,0,6.7
 60-70,0,0,1.3,0,215.99,7.12,0,9.08,33.92,0,0,0,2.15,0,0,1.42,0,2.38,20,0.58,0,2.62,210.94,0,143.63,0,0,4.33,0,0,0,0,29.06,0,0,2.9,0,2.08
 72-82,0,0,4.43,6.76,188.52,0,5.41,0,73.58,1.01,0.65,0,0.58,0.53,1.21,0,0,9.16,17.89,0,0,1.23,252.36,0,290.72,0,0,0.66,0,0,0.55,0,14.88,2.98,0,2.57,0,0
 84-94,0,0,8.73,1.35,102.85,2.96,0,1.08,52.84,0.73,0,0,0,0,0,1.13,0,0.73,23.46,0,0,2.32,135.65,0,216.77,0.93,0,6.73,0,0,0,0,5.17,0,0,0,5.66,0
 96-106,4.92,0,3.92,8.07,141.79,2.64,0,1.05,66.35,2.76,0,1,0,1.57,0.75,5.55,0,0,11.72,0,0,0,150.5,0,309.96,0.73,2.5,1.91,0,0,0,0,8.55,0,0,0,0,0
108-118,1.15,0.74,2.83,5.06,128.08,0,0,1.6,65.78,1.9,0,0,5.83,0,0.41,0.52,0.51,1.73,21.83,0,0,0,134.72,0,238.74,6.91,0,12.72,0,0,0,0,14.59,1.85,0,0.93,0,0
120,0,0,4.57,1.54,68.16,0,0,0,21.75,0,0,0,13.26,2.42,0,0,0,1.54,12.16,3.25,10,4.7,205.7,0,248.89,9.75,0,5.57,0,0,2.39,0,12.59,0,10.67,0,0,0
