stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,9.38,0,0,0.86,0,0,0,0,2.37,0,0,0,0.93,0,3.28,3.08,1.58,0,0,0.9,0,0,0.89,2.78,0,0,0,0
 24-34,0,2.94,0,33.64,0,0,0,0,1.47,0,0,3.18,1.37,0,0,19.09,0,21.55,20.23,0,0.75,0,26.92,0,1.94,2.51,0,0,0,0,0
 36-46,0,2.63,0,41.9,0,0,3.18,1.4,2.13,0,2.88,0.57,0,0,0,68.28,0,32.27,31.92,0,0,0,0.61,0,0.58,0,0,1.45,0,0,0
 48-58,0,2.4,0,7.42,0,0,7.95,0,3.55,0,1.81,0,0,0,0,34.09,1.32,3.2,6.11,0,0,0,6.52,0,0.53,0,0,5.3,0,0,0
 60-70,0,0.91,0,10.01,0,0,4.82,4.19,21.68,6.2,0,0,0,0,0,37.71,1.01,7.05,16.87,0,0,0,9.34,0,0.71,1.71,0,2.03,0,1.03,0
 72-82,0,0.95,0,10.62,0,0,3.44,0,2.71,1.85,3.45,1.04,0,0,0.53,26.66,0,2.24,2.57,0,1.37,0,0,0,2.67,0,0,0,0,0,2.14
 84-94,0,1.75,0,9.82,0,0,0,0,22.74,0,0,0,0,8.2,0.76,20.86,0,0.84,4.06,0,0,0,10.08,0,0,0,0,0,0,0.58,0
 96-106,0,0,0,13.86,4.57,0.97,0.68,0,10.59,0,0,1.13,0,0.83,0.8,11.69,0.83,0,10.41,0,0.81,0,12.92,1.14,3.07,6.18,0,0.98,0,0,0
108-118,0,1.56,0,34.79,0,0,1.16,0.76,33.89,0.83,1.72,2.13,3.91,1.51,2.5,28.1,0,0.66,13.56,0,0.57,2.27,8.05,0,1.69,0,0,0,0.84,0,0
120,0,0,0,14.23,0,0,0,0,36.72,0,0,0,0,0,3.86,25.58,0,0,11.53,4.62,0,0,0,2.5,6.3,0,0,0,0,0,0
