stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.66,1126.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.17,0,0,0,0,0,0,0,0,0,0
  5-6,24.98,1042.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,25.46,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,5.95,0,9.86,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.76,0,0,0,9.18,0,0,13.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.21,0,0,0,21.53,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.48,2,4.43,5.22,0,139.79,0,0,0,1.45,26.6,36.83,6.18,39.67,0,0,0,0,31.19,0.93,0,40.06,123.19,0,0,7.44,1.21,0,0,0.9,13.97,96.64,223.28,14.73,0,0,0,0,0
 24-34,0,0,2.06,1.54,3.17,9.21,0,399.43,13.21,1.41,0.69,11.11,0,82.17,25.7,154.38,0,0.86,0,0,8.07,14.71,0,29.41,393.96,0,6.65,7.26,1,0,3.3,0,44.19,52.26,153.96,115.55,0,0,9,0,0
 36-46,0,0,0.69,0,1.41,9.95,0,283.47,12.16,0.79,0,21.05,1.93,9.2,70.46,130.15,0,0,0,0,6.23,4.89,0.57,10.99,500.14,0,14.75,6.77,14.18,0,0,0,88.42,61.64,9.09,156.39,0,0,19.99,0,0
 48-58,0,0,0.46,0.43,10.96,0.44,0,320.41,14.26,0.54,0,71.39,13.1,10.97,92.1,41.15,1.14,4.26,1.92,0,11.37,0,2.18,3.06,429.66,3.5,8.87,3.46,0,0,2.98,0,81.65,9.49,0,125.15,0,0.74,10.25,0,5.54
 60-70,0,0,2.84,0,6.28,5.44,0,941.16,12.3,7.6,7.21,318.03,8.67,54.15,96.08,28.35,3.16,2.59,0,0,24.84,0,12.29,8.96,390.89,0,4.51,4.06,0,2.07,0.98,0,68.47,11.4,0,76.31,0,0,9.97,0,0
 72-82,0,0,4.43,0,20.17,9.84,0,1546.43,22.13,0,3.16,826.87,38.79,3.68,113.87,47.71,4.11,8.55,2.61,0,45.7,2.2,3.01,5.26,309.99,0.73,8.51,8.47,0,2.23,2.97,1.65,53.36,1.19,0,44.32,1.46,10.8,55.5,8.56,0
 84-94,0,0,11.89,0,17.57,3.7,0,1477.84,19.61,1.68,0,718.22,44.69,1.94,154.98,143.54,2.29,1.32,12.83,0,29.35,1.34,1.94,4.4,157.69,0,14.94,6.79,0,0.77,10.44,0,64.98,5.79,0,68.99,24.99,2.95,28.63,4.67,10.8
 96-106,0,0,3.09,0,54.26,13.91,3.86,2038.19,19.18,4.3,7.4,1048.22,47.57,1.94,183.05,111.81,1.9,13.57,18.84,5.8,58.56,9.1,6.08,9.66,385.56,0.68,10.77,4.14,0,6.53,21.93,0,90.24,8.85,0,14.04,130.17,9.29,56.54,7.76,0
108-118,0,0,3.36,0.44,58.79,25.88,2.91,2217.01,27.03,0,0.72,1109.33,50.9,14.48,139.24,125.16,10.84,7.58,22.16,9.59,40.55,10.11,10.5,16.11,349.79,0,7.23,11.4,8.11,27,12.31,0,70.37,22.8,0,40.14,148.77,0.8,47.29,9.9,2.03
120,0,0,2.44,0,63.07,6.73,0,3046.67,19.45,0,14.21,1094.96,160.84,3.22,373.16,173.31,0,5.12,4.56,3.02,111.97,2.25,48.09,22,511.84,0,20.36,11.08,0,13.23,12.25,0,61.13,8.32,0,15.12,48.59,22.66,39.41,39.34,0
