stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.22,24.28,8.87,15.49,0,0,0,6.71,4.1,0,0.92,0,0,0,0,3.74,0,14.96,0,0,20.34,217.71,10.52,0.87,4.15,1.83,0,10.48,29.05,3.14,0,27.2,81.02,0,0,2.07,0,0
 24-34,0,0.59,13.09,0.66,57.33,0,0,0.7,11.44,1.02,0,3.71,0,1.01,0,2.06,4.31,0.75,54.06,0,0,20.76,550.14,3.45,8.89,10.85,0,0,10.71,0,0,0.65,8.03,119.15,0,0,17.39,0,1.19
 36-46,0,0,6.87,0.58,93.53,0,2.53,1.24,31.35,0,0,1.2,0,0,0.56,1.39,3.78,0.61,55.79,0,1.52,13.56,510.96,0.78,2.43,14.75,0,0,46.63,0,0,0,0,86,0,0,4.75,0,12.16
 48-58,0,0,10.11,7.98,177.16,0.39,2.25,0.88,47.29,0,0.37,1.92,3.41,0.51,0.47,3.26,2.15,0,55.79,0,0.79,10.67,495.27,0,5.61,0.91,0,4.39,15.42,0,0,0,0,101.49,0,0.91,3.73,0,0
 60-70,0,0,14.04,0,179.93,4.93,0,1.67,29.2,5.53,0,1.85,5.34,0,8.76,1.13,0,0,70.74,0.58,6.27,9.37,455.08,5.58,0.58,3.95,0,0,15.93,0,1.93,5.52,0,49.76,0,0,4.63,0,11.82
 72-82,1.35,0,5.47,0,196.19,2.65,2.5,6,42.65,0,0,2.29,0.69,0.63,0,5.16,0,0,99,1.82,3.14,5.92,300.22,1.56,8.25,5.59,0,5.09,1.18,0,0,0,0,35.85,0.5,6,11.24,1.05,6.01
 84-94,0.56,0,20.88,4.11,106.73,0,0.57,3.12,26.26,3.34,0,0.88,3.08,0.68,0.75,1.05,0,0,50.88,1.13,4.05,12.32,183.35,2.69,0,3.23,0,1.75,7.92,0,1.52,0,0,24.23,0.62,1.05,9.24,0.74,14.06
 96-106,1.07,0,12.01,0,96.55,0,0,5.79,49.44,5.13,0,3.88,1.36,5.01,0,3.57,0,2.07,82.18,7.98,1.7,6.3,131.01,0,3.4,1.65,0,3.27,10.31,0,0,0,0,12.77,0,2.61,12.44,3.36,0
108-118,0,0,5.85,0.49,100.23,0.42,0.66,10.62,53.57,1.69,0,0.78,4.63,3.29,0.49,0.49,3.48,0.55,41.89,0,4.85,6.33,212.42,1.89,0.64,5.57,0,2.43,10.76,0,1.66,0,0,3.41,1.36,1.94,9.05,0.79,1.16
120,1.73,0,18.3,0,85.18,0,2.74,6.62,47.44,11.07,0,0,2.4,0,1.59,0,0,0,48.21,3.22,1.45,11.29,318.99,8.14,4.83,4.61,0,0,17.79,0,0,0,0,9.14,0,0,16.94,0,0
