stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,0,72.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.18,40.44,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0
  7-9,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.5,0,6.94,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,21.67,0,0,0,2.38,1.16,0
 24-34,0,0,0,0,0,0,0,0,0.99,27.45,0,0,0,0,3.73,0
 36-46,0,0,0,0,0.8,0,0,0,0.73,9.93,2.68,0,0,0,7.67,0
 48-58,0,0,0,0,0,0,0.83,0,0,17.56,0,0,0,0,0.46,0
 60-70,0,0,0,0,0,0,0,0,0,3.85,4.71,0,0,0,0,0
 72-82,0,0,0.79,0,3.73,0.55,0,0,0,22.37,0,0,0,0,6.11,0
 84-94,0,0,0,0,3.15,0,0,1.78,0,7.61,0.91,0,0,0,0,0
 96-106,0,0,0,0,3.77,0,1.14,0,0,7.86,2.19,0,0,0,0,0
108-118,0,0,0,0,1.46,0,0.8,1.94,0,14.94,4.76,0,0,0,0,1.3
120,0,0,0,0,0,0,7.84,0,0,12.39,0,0,0,0,0,0
