stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.63,19.69,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,22.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,32.39,0,4.52,0,0,0
 14-21,0,0,1.58,0,0,0,0.83,0,8.18,0,0,0.97,0.8,0
 24-34,0,0,0,0,0,0,2.73,0,4.49,0.65,0,0,0,0
 36-46,0,0,0,0.63,0,0,2.21,0,6.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.45,4.14,0,0,0,0.79,0
 60-70,0,0,0,0,0,0.87,0,0,2.86,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.1,0,0,0,0,0,0,0,0,2.1
108-118,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
