stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,8.41,0,0,0,0,0,0,1.08,0,0,0,0
 48-58,0,0,0,0,5.04,0,0,0,2.07,0,0,3.09,0,0,0,0.46,0.71,0,0,12.37,0,0,0,0,0,0,2.24,0,0,0,0
 60-70,0,8.83,0,0,21.21,0,34.52,0,0,1.72,0.97,0,0,0,2.83,0.98,1.23,0,0,13.82,0,1.17,0,0,0,0,0,0,0,0,0
 72-82,0,61.19,0,0,127.15,0,66.46,0,1.53,4.87,2.38,0,0.53,0,1.08,2.45,39.34,0,0,24.11,0,0,2.54,1.41,0,0,2.64,10.09,0.5,0,0
 84-94,0.62,171.63,0,0,308.26,0,184.57,0,0,30.23,0,0.88,10.33,0,9.25,4.96,51.16,0,0,28.96,0,6.49,1.98,4.63,0,0,0,24.14,0,0,0
 96-106,1.08,1264.57,16,0,139.93,1.66,693.05,2,4.08,148.81,0,0,4.06,1.95,4.97,14.63,94.04,0,1.62,76.98,0,0.93,0,25.27,0,4.11,6.8,134.3,5.35,1.61,0
108-118,2.18,2861.02,0,0.78,210.12,0.46,2391.78,0,2.82,186.85,0,0,8.48,0.52,33.08,27.52,64.1,0,0.49,97.61,0,4.34,3.51,8.15,0,0,0,227.16,6.49,0,7.58
120,0,4208.5,13.18,1.89,104.18,1.18,3379.81,9.7,0,110.31,0,0,0,0,12.94,20.72,116.7,18.32,5.56,178.9,3.89,2.92,0,10.76,8.18,0,0,133.76,25.84,0,0
