stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,109.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,166.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0
  7-9,8.02,0,0,0,0,0,10.47,0,0,0,0,0,103.83,0,0,3.38,0,0,0,0,0,0
 10-12,5.48,0,0,0,0,0,0,0,0,0,0,0,215.69,0,0,17.32,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,15.37,4.61,1.47,0,0,0,3.24,0,0,3.62
 24-34,0,0,0,0,0,0,0,0,0,3.4,1.45,0.79,79.71,0,0.63,0,0,0,3.64,0,0,0
 36-46,0,0,0,29.91,0,1.33,0,0,0,11.93,0,0.56,220.84,0,4.08,0,0,0,2.99,0,0,0
 48-58,0,0,0,111.14,0,13.06,0,0,0,15.14,4.6,0,254.51,0,1.06,0,2.32,0,17.28,0,1.31,0
 60-70,0,0,0,151.16,0,38.21,0,0,0.73,1.05,1.05,0,133.25,0,0,0,0.81,0,6.22,0,0,0.72
 72-82,0,0,0,85.3,0,17.19,0,0,1.33,2.14,2.19,0,46.68,0,0,0,0.71,0.75,0,0,0,0
 84-94,0,0,0,66.37,0.85,1.69,0,0,0,5.95,0.97,0.71,20.13,0,0,0,0,0,0,1.64,0,0
 96-106,0,0.94,0,37.77,0,9,0,0,0,0,1.17,0,40.72,0,0,0,0,0,0,0,0,0
108-118,0,0,2.12,60.77,0,2.15,0,0,0,0,1.42,0,30.91,0,0,0,0,0,0,0,0,0
120,0,0,0,69.93,0,0,0,1.25,0,1.79,0,0,165.05,0,0,0,0,0,0,0,0,0
