stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,193.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,198.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0
  7-9,5.44,4.45,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0.88,0,0.83,0,0,0,0,0,0,0,0.8,0.84,0,0,0,0,0
 24-34,0,0,0.97,0,0,0,1.36,0,0,0,0.95,0,0,7.81,0,0,0,0,0,0,43.92,0,1.57,0,0,0,0,0,0,7.3,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0.83,0,166.18,0,6.27,0,0,0,0,2.3,0,23.62,0,0,0,0,0
 48-58,0,0,0.79,0,0,0,32.44,0,0,0.49,3.43,0,0,0.5,7.07,0,0,0,0.88,0,461.29,0,1.61,0,0,0,0,0,0,39.01,0,0,1.53,0,0
 60-70,0,0,1.36,1.38,0,0,147.22,0,0,0,12.36,0,0,0,0,0,0,0,6.38,0,1226.47,0,3.73,0,0,0,0,0,0,102.79,0,0,0,0,0
 72-82,0,0,1.31,13.07,0,0,731.64,0,0,2.32,38.99,0.56,0,0,2.57,0,2.18,3.96,17.21,0,2863.29,0,0.52,0.54,0,0.49,0,0,0,75.66,3.98,0,6.47,0,19.19
 84-94,0,0,2.82,15.01,0,1.24,569.02,0,1.43,0,18.08,0,0,3.02,9.11,0,0,0,18.39,0,2200.77,0,2.99,0.69,0,10.21,0,0,0,88.98,0.9,0,7.45,0,12.24
 96-106,0,0,0.83,7.78,1.23,0,475.99,0,0.84,0.64,34.92,0.58,0,0,0.95,1.02,0,0,14.28,2.01,2334.42,0,2.28,5.42,0,4.91,0,0,0,57.5,4.84,3.19,0,0.59,2.85
108-118,0,0,0,10.54,3.12,0,503.01,1.3,3.2,0.98,48.81,3.46,0,0.83,3.47,0.73,0,0,19.04,1.95,2739.71,0,2.82,1.16,0,0,0,0,0,72.98,0,0.84,2.53,0,0
120,0,0,0,16.16,2.48,0,607.36,0,0,0,59.83,0,0,1.15,5.31,0,0,0,14.73,4.09,4007.9,5.56,2.49,1.05,0,0,3.93,0,0,88.58,5.48,3.79,0,0,0
