stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,spinal_cord
 24-34,0.6,0,0,0,0,0,0,0,0,4.33,0
 36-46,0,0,0,0,0,0,1.11,0,0,2.25,0
 60-70,0,0,0.99,0,0,0,0,0,0.59,0.66,1.22
 72-82,0,0.93,0,0,0,0,5.83,1.62,1.11,1.15,0
 84-94,0,5.27,0,0.57,0,0,3.56,0.94,0,0,0
 96-106,0.69,0.74,0,0,0,0,8.53,0,0,0,0
108-118,0,0,0,0,0,0.42,4.56,0.91,0,1.47,0
120,0,0,0,0,6.26,0,3.28,2.22,0,0,0
