stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,2.86,1.1,0,0,0,0.86,0,0,0,0.88,0,0,0.83,2.2,9.46,0,0,0,0.87,1.71,0.83,5.76,0,0
 24-34,0.77,0,0,3.74,0,0,0,0,0,1.91,0,0,2.63,1.95,23.83,1.61,2.91,0,6.1,0,1.14,11.29,1.77,0
 36-46,1.82,0,0,4.42,0,1.91,0,0,0,1.98,0,0,5.18,0.62,28.29,0.57,0,0,9.26,0,0,8.72,0,0
 48-58,0,0,0,8.1,0.78,0,0,0,0,0,4.71,0,6.45,0.97,27.24,0,0,0,1.29,0,0,7.99,1.56,0
 60-70,1.63,0,0,25.32,0,8.17,0,0.58,0,0,0,0,4.02,0,16.62,0,0,0,0,0,0,0.68,0,0
 72-82,0,0,0,8.17,0,0.87,0,0,0,0.63,0,0,1.06,0,10.67,0,0,0,0,0,0,2.22,1.8,0
 84-94,2.94,0,0,16.76,0,1.85,0,0,0,0.73,0,0,7.17,0,17.28,0,0,0,1.57,0,0,0,0,0
 96-106,4.2,0,0,12.96,0,5.45,1.19,0,0.59,0,0,1.07,7.54,0,8.46,0.62,0,0,5.04,0,0,0,0,0
108-118,0.87,0,0,7.97,1.39,1.55,0,0,0,0.57,0,0.72,1.55,1.77,8.88,0,0,2.05,0.54,0,0,0,0,0.95
120,0,0,1.58,0,0,0,6.14,0,0,0,0,0,11.99,0,23.9,0,9.06,0,0,0,0,0,0,0
