stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,454.35,8757.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.84,0,0,0,0,0,0,0,0,0
  5-6,306.41,4168.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.73,0,0,0,12.15,74.31,0,0,0,0,0,0,0,0,0
  7-9,7.2,27.16,0,8.87,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.85,7.46,0,0,68.19,0,10.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.54,32.7,0,0,5.51,6.84,5.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.1,0.86,0,5.35,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,68.88,7.68,0,3.06,0.99,8.98,0,0,1.2,12.01,0,0,0,0,0
 24-34,0,0,0.81,0.67,15.96,0,0,11.05,0,0,0,5.07,0.67,0,1.22,10.2,2.94,0,0,0,1.29,6.44,0,0,1.06,163.84,1.57,3.78,0.69,0,0.92,0,0,0,19.34,0,0,2.31,0,0.69
 36-46,0,0,0,0,25.78,0,0,8.11,0,0,0,15.59,0,0,0,36.33,15.24,0,0.56,0,6.03,5.9,1.08,0,0,112.65,0,4.8,0.57,0,3.53,0,2.03,0,8.05,0,0,0.69,0,2.73
 48-58,0,0,0.42,0,27.81,0,0,27.96,0,1.2,0,34.64,2.39,2.08,1.23,49.94,0.5,0,0,0,4.43,9.47,1.09,0.4,2.71,47.97,0,1.97,9.17,0,2.27,0,0.68,0,7.77,0,0,0,0,0
 60-70,0,0,0,0,18.96,0,0,47.03,0,11.23,0,37.75,1.11,0,0,81.9,4.54,0,2.3,0,0,28.24,5.62,3.49,0,34.75,2.85,2.2,11.39,0,0,0,0,0,9.48,0,0,10.98,0,6.55
 72-82,0,0,0,0,19,0.69,0,34.91,0.49,1.8,0,80.68,0.61,0,0,67.18,0.53,1.29,1.17,1.6,0,45.63,0,3.02,2.02,44.32,0,6.09,11.04,0,5.49,0,0,0,4.22,1.38,0,8.93,0,0.63
 84-94,0,0,0,0,38.72,0,1.52,35.53,0,5.59,0,49.43,4.59,2.11,0,74.98,1.66,4.68,0.92,0.58,10.81,25.44,0,0.65,1.11,49.15,0,7.67,11,0,19.52,0,0.62,0,7.46,2.01,4.34,1.46,0,1.5
 96-106,0,0,1.15,0,25.69,0.8,0,29.7,0.57,0,0,39.35,7.97,0,0.88,83.12,6.65,0,4.89,0.62,2.01,48.16,5.42,0,2.24,36.95,0.62,8.4,21.1,0,8.69,0,0,0,11.18,6.46,0,1.22,1.5,3.3
108-118,0,0,1,0.65,45.89,0,1.12,33.29,0,6.55,1.26,13.9,19.23,0,0,86,7.15,1.29,4.83,1.83,5.27,38.47,1.71,0,1.14,35.75,0.43,9.42,14.49,0,5.58,0,0,0,4.54,2.72,2.7,6.85,0,6.96
120,0,0,0,0,73.88,4.64,0,12.64,0,7.12,0,53.76,5.65,0,0,269.44,5.73,0,5.46,0,0,35.55,3.22,0,2.79,50.66,11.05,0,4.7,0,2.15,0,1.21,0,7.65,2.21,0,20.22,0,0
