stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.24,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,35.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.57,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.76,0,0,0,15.59,0,0,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,225.44,19.83,16.11,0,0,0,32.89,0,0,13.01,0,0,0,0,0,36.9,0,0,80.9,348.04,0,0,1.9,0,0,1.15,0,1.15,0,0,1.81,1212.13,0,0,1.49,0,0
 24-34,0,0,6.45,281.35,7.6,6.19,0,2.31,0,31.69,0,3.37,112.14,0,0.6,0,15.1,0,170.06,0,0,80.21,315.34,0.64,3.29,0,0,0,13.17,0,2.33,1.61,0,0.78,336.54,0,0,93.41,0,0
 36-46,0,0,0,156.81,0.61,6.27,0,0,0,4.06,0,0,27.97,0,0,0,44.3,0,86.38,0.65,1.07,34.36,152.3,1.03,3.03,1.68,0,0,53.21,0.74,0,1.18,0,0,57.23,0,0,162.71,0,0
 48-58,0,0,0,86.35,0,13.85,1.09,0.48,0,9.66,0,0,168.92,3.41,0,0,18.95,0,47.96,0,0,15.81,102.68,2.02,2.41,3.5,0,0.4,71.08,0,0,0,0,0,12.61,0,0,318.54,0,0.63
 60-70,0,0,0,143.8,0,19.5,0,5.75,0,7.07,0,0,117.72,0,0.58,0,36.14,0,56,3.6,0,12.86,42.1,3.93,8.08,20.07,0,1.44,55.68,0,0,0,0,0,4.49,0,0,244.71,0,0
 72-82,0,0,0,63.09,0.63,14.45,4.43,1.02,0.64,7.83,0,0,116.82,0,7.08,3.25,37.55,0,61.48,2.05,0,12.28,63.01,0.53,17.23,4.55,0,0,57.11,0,0,0,2.68,0,3.63,0,1.64,467.11,0,0
 84-94,1.23,0,0,136.15,0,22.03,0,8.08,0,41.73,1.18,0,66.86,2.92,0,0,55.55,0,27.36,0,8.39,19.89,24.92,11.06,15.86,5.99,0,0.79,270.35,0,0,0,0,0,0,0.62,3.15,473.5,0,4.35
 96-106,0,0,0,235.86,8.83,30.52,1.41,12.7,4.33,11.7,38.9,0,147.34,3.01,3.8,1.91,104.45,1.03,100.23,4.59,1.51,36.83,56.99,3.41,65.77,14.18,0,0,296.41,0,0,0,0.6,0,2.05,6.18,0,789.88,0,0
108-118,0,0,0,236.37,6.44,40.33,0.89,22.47,1.46,8.22,45.36,0,51.16,5.06,9.71,0.78,36.08,1.21,82.99,5.26,3.27,22.26,53.67,8.81,22.17,14.7,0,0,276.83,0,0,3.41,0,0,0,1.36,1.77,982.81,2.04,4.17
120,0,0,0,154.48,0,30.8,0,14.61,0,15.15,0,0,137.02,0,1.05,0,18.02,0,52.26,1.72,9.68,13.28,63.76,1.38,21.79,16.28,0,0,145.27,0,0,0,0,0,0,0,0,739.2,0,0
