stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,32.55,922.92,0,0,0,0,0,0,0,0,0
  5-6,40.39,1355.72,0,0,0,0,0,14.77,0,44,0
  7-9,20.67,10.81,0,0,14.48,0,0,153.66,42.66,44.14,0
 10-12,0,0,8.81,0,0,0,0,14.38,5.31,4.05,0
 14-21,0,0,0,2.3,0,1.93,0,0.83,0,0,0
 24-34,0,0,0,0.89,0,0,0,1.59,0,0.65,0.99
 36-46,0,0,0,0,0,0,0,14.16,0,0,0
 48-58,0,0,0,0.54,0,0,0,1.11,0,0,0
 60-70,0,0,0,0,0,0,0,1.44,0,0,0
 72-82,0,0,0,0,0,0,1.73,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.73,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.47,0
120,0,0,0,0,0,0,0,0,0,1.3,0
