stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,191.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0
  5-6,0,93.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69,0,0,7.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,0,5.95,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0.94,0,0,0,0
 24-34,0,0,0,0,1.33,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,1.55,0,0,0,0,8.34,0,0,0,0
 36-46,0,0,0,0,0,0,25.78,0,0,0,0,0,0,0,0,0,0.97,0,0,0,56.49,0,1.21,0,0,0,0,13.97,0,0,0,0
 48-58,0,0,0,0,0,0,75.36,0,0,0,0,0,0,0,0,0,0.54,0,0,0,72.42,0,0,0,0,0,0,5.17,0,0,0,0
 60-70,0,0,0,0,0.91,0,1055.62,0,0,0,0,0,0,0,0,0,0,7.11,0,0,151.3,0,2.22,0,1.62,0,0,3.75,0,0,0,0
 72-82,0,0,1.7,0,6.41,0,2513.07,0.76,0.57,0.79,18.18,0,0,0,0,5.32,0,11.57,0,0,220.47,0,1.59,0,0,0,0,12.25,0,1.1,0,0
 84-94,0,0,2.09,0,12.38,1.3,1367.59,0,0,0.89,47.35,0,2.4,0,1.42,0,0,17.88,1.01,0,107.27,0,1.31,0,0,0,0,7.39,0,0,0,0
 96-106,0,0,0,0,9.71,0,1814.23,0,6.32,0,25.93,0,1.61,0.58,0,0,0,3.42,0,2.26,121.07,0,2.04,0,0.8,0,0.71,0,0,2.51,0,0
108-118,0,0,0,0,13.77,1.94,1358.75,0,0,0,14.16,0.71,0,0.82,0,0.45,0,4.75,0,0,110.73,0,1.39,0,0,0,0,2.17,6.84,1.64,2.47,3.21
120,0,0,0,0,8.26,0,836.33,0,0,1.56,38.31,0,0,0,0,0,0,32.13,0,3.71,136.75,0,0,0,0,0,0,0,0,0,0,0
