stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.98,1687.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0
  5-6,38.62,1257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84,0,0,0,0,0,33.91,0,0,0,0,0,0,0,0,0,0
  7-9,11.55,92.1,0,219.31,0,0,0,290.28,0,0,0,0,17.09,0,0,0,0,0,0,0,0,0,0,0,2102.9,33.08,0,0,601.93,0,4.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,93.61,0,453.49,0,5.14,0,341.95,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,4329.77,74.61,0,0,741.08,0,0,0,58.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,52.58,1112.55,17.37,0,4.67,27.45,0,2.63,5.18,1.05,14.34,0,0.92,0,0,0,0,188.67,0,0,34.94,225.3,16.85,16.5,1.89,3.11,0,2.73,43.1,0,41.02,21.63,56.76,0,0,10.85,0,0
 24-34,0,0,2.78,11.45,211.04,1.03,0,3.86,84.67,0,2.95,0,0,29.95,0,0.68,0,3.38,1.32,0,127.59,0,0.89,17.62,183.23,1.42,5.61,4.52,0,0,5.09,0,0,1.01,1.26,18.67,0,0,138.82,0,0
 36-46,0,0,0,0,48.64,8.68,0,8.76,46.32,0,2,6.25,0,29.41,0,0,0,5.88,7.53,0,184.38,0,0.71,0,87.64,0,0.57,1.9,0,3.82,0,0,0,0.58,0,6.02,0,0,187.18,0,0
 48-58,0,0,0.65,0,31.68,2.22,0,23.72,36.69,0.84,3.29,4.78,0,23.87,0,0,0,4.58,3.93,3.29,257.2,0,2.63,0.71,131,1.63,1.53,13.39,0,2.56,1.77,0,0.37,0.44,0,5.45,0,0.98,169.01,0,0.63
 60-70,2.52,0,0,0,38.16,0,0,19.96,49.64,0,12.81,32.33,0,23.17,0,0,0,5.9,0,0,513.38,0,6.7,2.32,204.71,2.57,3.68,30.65,0,3.57,13.83,0,0,0,0,0,0.61,6.33,183.95,1.46,0
 72-82,0,0,0,0,39.07,9.33,0,17.32,31.44,1.01,39.16,38.49,0,57.5,0,3.04,0,7.22,4.54,0,705.05,0,30.42,6.86,118.56,0,3.79,23.31,0,8.62,2.35,0,1.23,0,0,4.37,1.42,2.34,314.95,1.22,9.23
 84-94,0,0,0,0,83.65,0,0,87.28,37.21,1.43,24.6,67.79,0,37.71,0,2.05,1.92,5.18,0,0,434.6,1.36,29.94,4.17,100.88,0,2.07,40.69,0,11.44,8,0,3.48,0.55,0,0,0.72,2.03,195.77,5.43,0
 96-106,0,0,0,1.03,78.33,0,1.12,25.42,42.87,2.34,93.48,45.12,0,74.42,4,3.03,0,9.67,0.71,0,566.49,1.24,42.32,8,80.45,0.62,0,42.32,0,37.52,6.13,0,4.46,0.6,0,0,1.74,6.83,358.27,9.46,0
108-118,0.94,0,0,0.58,86.53,2.27,2.65,33.08,58.58,1.99,65.2,31.08,0,42.58,0.42,10.26,2.13,7.81,4.24,0,610.48,0,74.38,11.08,105.03,0.97,1.23,45.61,0,17.25,12.71,0,1.57,0,0,0,9.82,5.28,164.84,4.01,0
120,1.19,0,0,0,96.01,6.81,0,18.9,45.71,0,74.4,12.62,0,68.24,0,3.12,0,1.48,0,0,812.54,1.13,87.36,3.16,153.92,1.17,0,53.72,0,47.36,0,0,0,0,0,0,11.96,4.7,191.16,22.14,0
