stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,147.47,0,0,0,0,0,0,0,0,0,119.9,0,0,0,0,0
 24-34,0,0,0,13.27,0,0,28.71,0,0,0,25.35,0,0,1.06,0,0,0,0,0,1.6,21.68,0,0,3.16,4996.29,0.69,2.63,0,0,0,12.24,0.65,0,0.71,1955.41,0,0,13.64,0,0
 36-46,0,0,0,1.88,2.64,0,66.61,8.69,1.39,0,1156.83,2.29,0,0.73,6.05,12.86,0,0.7,1.34,23.66,27.9,0,4.9,13.83,12974.27,0,3.87,4.08,0,7.92,2.52,4.41,0,0,4280.74,0,0,13.86,0,0.67
 48-58,0,0,0,78.84,3.55,0,679.04,1.45,9.93,5.86,7657.61,0,0,4.35,8.49,3.66,21.79,0,5.9,68.29,98.84,0.49,8.36,11.41,20937.56,8.62,5.62,2.71,0,0,12.77,0,0,0,4461.16,0,0,11.82,0,14.28
 60-70,0,0,0,61.03,1.33,0,2650.05,2.83,9.6,2.62,18643.07,4.07,4.48,0,17.18,0,13.7,11.34,2.57,29.03,204.71,4.99,20.13,13.97,28099.76,6.01,1.27,29.64,0,0,8.55,43.66,2.66,0,2659.06,0,0,6.57,4.46,3.77
 72-82,0,0.49,0,129.62,27.26,0,7129.76,3.43,4.99,16.48,23843.43,4.38,0,4.64,11.24,4.72,9.14,1.48,9.73,16.43,281.95,26.46,3.86,17.19,38164.1,0,2.27,19.5,0,5.39,22.24,0,0,0,1155.19,42.53,4.66,23.92,10.76,32.24
 84-94,0,2.24,0,381.06,10.26,0,6371.55,2.08,15.29,14.44,15164.44,13.11,0,1.01,4.53,0.94,31.09,7.43,0,16.25,262.8,4.88,8.31,23.7,25297.74,8.22,2.8,7.38,0,0,47.28,6.35,4.29,0,918.69,11.01,5.79,15.41,12.61,40.15
 96-106,0,0,6.7,319.56,41.68,4.67,7127.37,8.2,6.36,16.21,16644.09,10.05,0,2.28,5.96,6.07,1.73,2.67,31.44,7.43,216.17,0,10.96,23.75,23406.27,6.5,6.69,6.83,0,0,53.76,0,0,0,433.85,8.74,14.72,25.65,8.66,67.39
108-118,0,1.66,0,193.92,17.94,3.78,7454.61,7.37,0.75,9.59,17235.9,15.9,0,1.35,11.09,0,5,1.15,20.84,0,189.7,3.17,0,16.5,25563.12,0,6.32,6.98,0,2,17.69,6.34,0.69,0,422.11,14.93,5.62,22.43,5.72,26.37
120,0,0,0,475.06,13.83,23.11,7283.37,2.29,16.63,46.49,26649.82,1.09,5.2,0,41.84,0,12.07,0,25.78,1.6,347.01,1.59,6.66,45.69,45084.5,2.14,54.14,9.93,0,0,34.47,44.27,0,0,505.54,6.72,3.07,19.48,16.12,20.18
