stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.98,0,0,5.44,0,0,0,0
 14-21,0,0,2.65,0,0,0,0,0,1.1,11.22,0,0,0,0.81,0.86,0,0
 24-34,0,0,0,0,2.56,0.85,1.94,0,0,7.13,0,0,0,0,0,0,0
 36-46,0,0,2.76,0,0,3.47,0.8,0,0,7.97,0,0,0,0,0,0,0
 48-58,0,5.15,1.06,0,0,0.92,5.85,0,0,8.79,0,0,0,0,5.1,0,0
 60-70,0,0,1.85,0,0,3.29,5.62,0,0,12.87,0,0,0,0,0,0.73,0
 72-82,0,0,7.79,0,0,14.13,13.89,0,0,5.52,0,0,0,0,2.03,0,1.05
 84-94,0,0,0,0,0.56,7.93,9.87,1.37,0,4.13,1.1,0,0,0,0,0,0.82
 96-106,0,0.88,2.08,0,0,0.86,9.58,0,0,0.97,0,0,0,0,0,0,0
108-118,0,0.71,0.55,0.64,0,3.8,9.95,0,0,0,0.79,0,0,0,0,0,0
120,0,0,0,1.04,0,0,0,0,0,0,1.66,0,0,0,0,0,0
