stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,28.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,7.19,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.77,0,0,0,13.36,0,0,4.43,0,0,0,0,0,0
 14-21,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,1.56,0,0,0.78,3.83,0,0,0,0,0,0,0,2.71,0,0,0,0,0
 36-46,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0.94,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,6.7,0.74,0,0,0,9.83,0,0,0,0,0,1.91,0,1.98,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.79,0,0
 72-82,0,0,0,0,0,15.23,0,0,0,0,0,0,0.66,0,0,189.31,8.88,0,0,0,27.8,0,0,0,0,0,0,0,3.27,0,0,0,0,1.88
 84-94,0,0,0,5.62,0,0.92,0,0,0,0,0,0.69,0,0,0,766.56,2.57,0,0,0,38.53,0,0,0,0,0,4.39,0,0,2.26,0,0,0,0
 96-106,0,0,0.59,6.15,0,62.06,0,0,5.62,2.72,0.62,0.83,1.53,1.14,0,1562.28,32.63,3.99,0,3.43,160.09,0,0,0,0,0,3.39,0,2.06,1.01,1.16,0,0,10.01
108-118,0,0,8.08,5.89,13.01,49.33,1.47,0.95,10.69,1.94,0.49,2.69,0.47,2.49,1.92,4512.88,43.06,0,2.64,0,193.11,0,0.43,2.33,0,1.19,9.76,2.07,9.97,0,0,0,3.56,9.31
120,0,0,6.2,0,0,33.32,0,0,15.28,7.44,0,3.09,0,0,1.54,2446.47,13.28,0,0,1.11,250.51,4.62,1.45,3.89,0,0,6.12,0,0,0,0,11.16,0,10.22
