stage,eye,mesenchyme,neural,olfactory,spinal_cord
 24-34,0,0,5.35,2.42,0
 36-46,0,0,6.58,0,0.81
 48-58,0,0,13.94,0,2.92
 60-70,3.48,0,11.74,2.65,2.59
 72-82,6.28,0,4.41,1.82,0
 84-94,4.54,0,4.15,0,0
 96-106,2.04,1.06,6.28,0,0
108-118,0.45,0,7.26,0,0
120,8.35,0,19.53,0,0
