stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,5.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.76,8.1,0,0,13.09,0,0,0,0,0,0,0,0
 14-21,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0.95,0,0,0,0,0,1.08,7.77,3.55,0,0.89,0
 24-34,0,0,0,14.16,0,0,0,5.2,0.74,0,7.85,0,2.25,0,0,3,0,0,22.63,0,0,0,0,0,0,0,0,8.37,0,0.96,0
 36-46,0,0,0,23.13,0,0,0,6.9,0,1.65,2.96,2.6,3.71,0,0,1.2,0,0,70.41,0,0,0,0,0,0,0,0,6.87,0,0,0
 48-58,0,2.41,0,295.03,0,0,0.94,12.04,0,0,10.59,0,2.24,0,0,3.05,0,2.16,93.6,0,0,0.66,0,0,0,0,0,20.4,0,0,0
 60-70,0,0.97,0,1507.65,0,0,1.75,3.75,0,0,9.85,0,0.84,0,0,2.7,0,0,63.82,0,1.19,0,0,0,0,0,0,3.87,0.8,0,0
 72-82,0,3.4,5.31,2032.8,1.66,0,0.88,0.63,0.82,0,15.46,0,1.9,0,0,11.45,1.45,0,92.19,0,1.42,2.52,0,0,0,0,0,3.68,0,2.14,4.34
 84-94,0,4.88,0,2291.95,0,9.46,0,10.2,0,0,22.47,0,1.21,2.36,0,8.78,0,0.76,47.05,0,0,6.2,0,0,8.77,0,0,6.69,1.08,1,0
 96-106,0,3.9,3.98,1822.05,0,0,0,0,0,0,19.14,1.41,2.17,10.19,0,8.01,0,0,16.77,0,0,1.34,0,0,2.7,0.9,0,2.32,0,0.64,7.43
108-118,0,0.5,1.38,1481.03,0,0.53,0,11.14,0,0,17.18,0,1.79,0,0.72,6.08,0,2.43,61.96,0.96,0,2.56,0,2.89,1,0,0,4.62,0,0,10.15
120,0,4.21,0,1483.84,0,3.6,5.18,2.04,0,0,66.3,0,2.53,0,0,7.1,0,1.99,58.99,0,0,0,0,0,1.36,0,0,0,6.25,0,12.45
