stage,blastomeres,epidermis,eye,fin_epithelia,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,27.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0
 10-12,0,0,0,0,4.67,0,0,0,0,0,4.67,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.88,0,0,9.24,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.27,1.32,0,0.87,0.91,0,0,0,0,2.87,1.34
 36-46,0,0,1.54,0,0,0.64,0,4.79,0,0,7.3,0.64,0,0,0,2.28,0
 48-58,0,0,0,0,0,1.02,0,0.6,0,0,1.19,0,0,0.68,0,0.54,0.58
 60-70,0,0,1.56,0,0,0,0,1.39,0,0,1.44,0,0,1.45,0,0.67,3.39
 72-82,0,0,0.99,0,0,0,0,2.83,0.68,0,6.02,0,0,0.61,0,0,2.28
 84-94,0,0,0,0.57,0,1.99,0,2.18,0,2.2,2.46,0,0,2.5,2.8,0,7.55
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,1.36
108-118,0,1.47,0,0,0,2.47,0,3.06,0,0.75,4.48,0,0,4.21,0,0,0.52
120,0,0,0,0,0,0,0,0,0,1.02,3.8,0,0,0,0,0,0
