stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.03,3.99,14.21,3.33,0,0,2.84,0,1.19,0.92,0,0,0,0,3.67,3.43,5.23,0,0,6.97,113.57,2.65,0,0.97,1.56,0,5.46,2.59,2.38,4.21,18.59,0,0,0,0,1.1
 24-34,0,1.45,8.84,2.27,18.05,0.7,0,8.21,0.67,0,0.62,0,1.37,0.85,0,17.65,3.64,18.34,0.63,0.89,9.21,189.78,10.58,5.9,0.95,0,0,18.28,0,0,1.58,60.75,0,0,28.17,0,6.22
 36-46,0,0,0,4.14,16.37,0,1.16,9.24,0,0,6.49,1.03,0.7,15.77,0,2.42,3.82,28.46,0,0.8,6.21,294.37,7.74,5.04,0,0,0,16.56,0,0.56,0,75.75,0,0,25.02,0,3.62
 48-58,0,0,0.48,0,40.08,0.41,2.23,5.63,1.57,0,1,0,0,0.94,0,0,4.11,21.17,0.74,2.99,5.82,225,8.6,3.72,0.57,0,0,4.67,0,0,0,38,0,0,4.19,0,20.77
 60-70,0,0,1.51,1.17,126.71,0,0.87,28.15,0.62,0.97,1.29,1.09,0,10.22,3.7,0.72,0,59.58,0,2.92,6.14,278.1,11.23,4.07,2.14,0,1.71,12.12,0,0.59,0,50.32,0,0,7.27,0,11.54
 72-82,0,0,3.42,8.68,79.74,0,9.21,18.33,0,0.6,4.33,0.67,0.83,4.96,0,0,0,60.56,2.2,3.52,6.8,199.52,1.13,0,1.45,0,0.84,3.06,0,0.64,0,33.05,0.53,1.21,26.67,3.78,10.33
 84-94,1.29,0,6.94,9.79,123.7,5.02,5.96,32.97,2.04,0,0,3.63,1.08,5.05,0.73,0.57,1.55,60.85,0.57,0,6.25,162.36,7.9,4.78,2.37,0,0.83,17.97,0,1.9,0,44.24,0,0.88,18.06,0,27.87
 96-106,1.14,0,4.72,1.75,43.09,0.6,0.74,27.62,1.42,0,2.66,3.9,1.39,3.33,1.05,0,0,55.42,0,3.6,3.16,123.84,0.61,0.71,1.25,0,1.94,12.72,0,0,0,28.07,0,3.84,7.28,0.67,13.68
108-118,0.77,0,9.73,14.92,52.97,1.49,0.65,21.59,3.73,0,0,2.04,2.61,12.33,0,0,9.51,76.46,0.44,2.22,1.42,143.68,2.58,2.11,1.74,0,4.12,18.46,0,2.29,0,0,0,0.92,16.29,2.71,11.97
120,0,1.66,2.64,18.5,28.58,3.79,0,34.74,0,0,0,4.3,0,4.88,4.94,0,0,19.17,0,2.4,0,160.32,5.26,6.09,7.91,0,0,8.37,0,0,0,24.37,0,0,13.91,0,0
