stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,2.1,0,3.04,3.82,3.45,0,0,0,0,0
 24-34,0,0.6,0,2.05,0.6,4.96,0,0,0,0,0,1.2,0,4.27,0,0,121.36,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,0,0
 36-46,0,0.57,0,0.65,0,84.63,0,0,0,0,0,0,0,0,0,0.58,160.61,0,0,0.67,0,0,0,0,0.56,1.04,0,63.26,0,0,0,0,3.29
 48-58,2.59,0,0,14.41,0,198.95,0,0,0,0,0,2.17,1.58,14.98,0,2.23,309.87,6,0.79,4.65,0,0,3.21,0,0,0,0,113.55,0,0,0,0,1.67
 60-70,0,2.17,0,65.29,0,399.92,0,0,0,0,0,0,0,34.73,0,2.53,473.19,0,0,2.01,0,0,11.02,0,9.88,0,0,126.28,0,0,0,0,0
 72-82,0,0,0.83,89.86,0,692.36,1.01,0,0,0,2.79,2.78,0,23.91,8.82,3.09,570.84,0,0,3.96,0,0.71,1.79,0,0,0,0,54.67,0.95,1.26,0,1.35,0
 84-94,0,7.74,0,99.56,0,438.15,0,1.27,0,0.89,0,2.3,0,19.86,0,0,388.04,0,2.46,8.89,0,0,2.39,0,0,0,0,46.32,0,2.12,0,3.5,9.59
 96-106,0,2.56,6.11,81.62,0.69,398.38,0.85,0,1.95,0,0,4.27,0,13.29,0,0,423.06,0,2.74,9.64,0,0,0.58,0,0,0,0,25.38,1.88,0,0,0,15.13
108-118,0,0.51,0,108.37,1.36,414.09,0,0,0,1.4,0,3.42,2.99,32.4,0,0,539.11,3.01,0,19.73,0,0,1.68,0,0,0,0,4.72,0,0,0,0,0
120,0,18.38,0,172.58,0,983.48,0,0,3.2,0,0,3.9,0,44.67,0,0,896.37,0,12.41,20.54,0,0,1.19,0,0,0,0,40.55,0,0,18.73,0,0
