stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.91,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,23.68,0,0.86,0,0,0,0,12.42,0,0,0
 24-34,2.58,0,1.12,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,225.82,0,0,0,0.74,0,0.99,54.98,0,0,0
 36-46,8.15,0,13.24,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,717.49,0,0.56,0,0.66,0,0,158.19,0,0,0.56
 48-58,6.59,0,119.64,0,0.41,6.21,0,0,0,0,0,0,5.23,6.62,0,0,0,701.44,0,1,0,7.36,0,0,129.85,0,0,0.67
 60-70,0,0,520.77,0,0,13.8,0,0,6.93,0,0,0,0,1.61,0,0.99,0,616.1,0,1.56,0,0.69,0,0,154.62,0,0,0
 72-82,3.27,0,418.17,0.55,5.05,2.74,0,0,0,0,0,0,0,12.01,0,0,0.73,440.63,0,0,0.81,0.55,1.65,0,104.21,1.33,1.09,0
 84-94,1.94,0.59,190.37,0,5.16,9.07,0,0.7,0.78,0.99,1.64,0,0,5.94,0,0,1.44,320.25,0,0,0,0,0,0,49.01,0,0.78,0
 96-106,7.57,0,253.56,0,0,6.01,0,0,0,0,0,1.14,0,6.77,0.97,0,1.51,235.71,0,1.12,0,3.36,0,0,10.55,0.59,0,0
108-118,1.18,0,173.83,0.42,4.07,8.64,0,0,0,2.21,1.16,0,0,7.85,0,0,6.94,311.1,0,0.55,0,2.74,0,0,21.22,4.83,2.62,0
120,3.58,0,190.05,0,0,14.5,0,0,2.25,0,0,0,0,12.75,0,0,0,562.92,2.06,0,0,1.49,0,0,23.96,0,0,0
