stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,1.51,0,0,0,0,0,0,0,0
 24-34,0,0.61,0,0,3.31,0,0,0,0,0,0,0,0,0,0,3.47,0,8.45,11.51,0,1.68,0,0,16.81,0,0.9,3,0,0,0,0,0
 36-46,0,4.05,0,0,6.39,1.75,0,0,0,0,0,0,0,0,0,3.51,0,0.6,9.7,2.89,0,0.6,0,21.35,0,0,0,0,0,0,0,0
 48-58,0,8.07,0,0,8.29,0,0,4.19,5.67,0,0,0,0,0,0.78,5.5,0,1.71,13.7,2.42,0,0,0,17.91,0,0,0,0,0,1.69,0,0
 60-70,0,1.44,0,0,6.49,1.36,0,4,0,1.88,0,0,0,0,0,17.99,0,1.67,28.95,0,0.84,5.61,0,5.5,1.58,0,3.76,0,0,5.52,0,2.08
 72-82,0.98,5.89,0,0,7.4,0,0,4.46,0,0,0,0,1.06,0,0,13.2,2.09,3.18,11.47,0,0,0,0,10.14,0,0,0,0,0,4.71,0.86,0
 84-94,0,1.84,4.59,0,3.21,0.63,0,2.66,0.93,0,0,0,0,0,0,12.53,0,0,18.18,9.1,0,3.55,0,29.21,0,0,0,0,0,4.14,3.53,0
 96-106,0,1.56,0,0,8.63,0,0,0,0,0,0,0.95,0,0,0,3.49,0,0,18.15,0,1.92,0,0,43.94,0,0,0,0,0,4.63,0,0
108-118,0,3.26,0,3.21,10.77,0,2.11,8.09,5.2,3.27,0,0.65,0,0,0,12.34,2.36,0,9.28,0,2.17,19.86,10.25,25.83,0,0,0,2.51,2.87,8.46,0,6.85
120,0,48.23,0,0,37.12,2.58,0,19.5,16.66,0,1.05,4.88,0,8.35,0,77.91,0,5.86,31.12,2.85,0,0,0,63.34,0,0,0,0,0,47.73,25.32,13.04
