stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.72,159.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.72,0,0,0,0,0,0,0
  5-6,0,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,50.31,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,14.43,0,7.39,0,0,0,0,0,0,0
 10-12,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.33,3.39,0,0,30.45,0,44.12,0,0,0,0,0,0,0
 14-21,0,0,0,1.44,18,0.96,0,2.54,0,0,0,0,0,2.29,0,0,0.97,0,0,0,0,2.63,0,0,0,3.52,0,1.55,1.09,0,0,42.59,2.05,3.2,0,0,2.02,0,0
 24-34,0,0,0,1.4,10.61,0,0,0,0,0,0,2.67,0,0,0.98,0,2.82,0,0,0,0,8.81,0,0,0.94,36.88,0,8.95,0.73,0,0,52.5,0,8.96,0,0,3.99,0,1.2
 36-46,0,0,0,0,7.48,4.19,0,13.09,0,0,0,0,0,0,1.46,0,18.25,0,1.89,0,0,29.03,0,0,6.65,66.52,0,5.71,0,0,0,83.08,0,26.66,0,0.62,1.21,0,0
 48-58,0,0,0,0,0,7.27,0,21.99,0,0,1,0.75,0,0,0.42,0,0.37,0,0,0,3.49,20.35,2.57,0,2.68,115.72,0,4.06,0,0,0,35.2,0,33.38,0,0,3.88,0,7.87
 60-70,0,0,0.62,0,0.86,10.69,0,51.6,0,2.96,0,7.84,0.63,0,0,8.18,0,0,0.72,0,0,53,0,0.95,0.58,198.6,0,5.38,0,0,0,35.64,0,42.95,0,0,0,0,4.89
 72-82,0,0,0.71,0,5.53,33.14,0,51.23,0,6.04,0,6.63,0,0,2.28,2.54,0,0,0,0,0,82.07,1.06,0,2.43,229.8,0,4.8,0.8,0,0.71,39.81,0,45.78,0,1.23,6.4,3.2,0
 84-94,0,0,0,0,4.41,90.6,0,70.58,0,7.04,0.77,8.14,2.62,0,0,0.65,1.81,0,2.33,0.6,0,74.4,1.05,2.32,2.04,169.63,0,9.97,7.14,0,3.48,96.76,0,51.38,0,0,4.53,0,2.78
 96-106,0,0,2.45,0,10.34,87.25,0,26.89,0,1.78,0.71,19.29,6.14,0,2.59,1.21,0,0,3.52,0,0,107.97,0,3.93,2.98,145.2,0,6.61,4.21,0,0,63.02,0,12.61,0.59,0.75,7.63,0,11.45
108-118,0,0,2.12,0,19.74,16.97,0.55,47.85,5.31,6.5,0,6.1,6.78,0,0.93,3.08,2.71,1.43,1.66,0.76,0,97.36,0,2.19,3.93,228.83,0,10.43,4,0,0,83.71,0,5.84,2.69,1.88,12.61,2.27,17.87
120,0,0,0,0,12.53,28.32,0,60.5,0,22.08,11.44,16.1,2.49,0,0,0,3.47,0,1.6,0,0,101.75,0,0,3.45,281.85,0,3.88,11.64,0,0,48.96,0,7.56,0,0,12.47,0,0
