stage,immune,otic,paraxial_mesoderm,periderm,taste
 10-12,0,0,5.91,0,0
 72-82,0.6,0,0,0,3.84
 84-94,0,0.79,0,0,0.57
 96-106,2.16,0,0,0.71,10.35
108-118,1.23,0,0,0,3.47
120,2.23,0,0,0,0
