stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,vasculature
  3-4,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.07,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,4.77,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,1.9,0,0,4.13
 36-46,0,0,0,1.24,0,0,0,0,1.12,7.24,0,0,0,0,0,0,0,0,0,1.54
 48-58,0,0,0,0,0,0,0,1.18,0,4.16,0.9,0.46,0.45,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.86,0,0,9.47,0,0,0.67,0,0,0,0,0,0,0,0
 72-82,0,0,2.33,0,0,0,2.37,0,4.59,0,0,6.62,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.42,10.19,0,0.6,4.17,1.03,11.95,0,0,1.73,0,0,0,0,0
 96-106,0,0,1.04,0.57,0,0,9.13,0,0.95,1.05,0,14.84,0,1.43,0,0,0,0,0,0
108-118,0,0,0,0.43,5.08,0,5.89,0,2.06,5.51,0,18.59,0.51,0,0,0,0,0,0.49,0
120,0,0,4.32,2.37,0,0,25.12,0,8.65,1.29,8.93,3.43,0,0,0,0,0,0,0,0
