stage,epidermis,eye,lateral_line,mesenchyme,muscle,neural,notochord,otic,pronephros,spinal_cord
 14-21,0,0,0,0,0,1.14,0.83,0,0,3.51
 24-34,0.73,0.62,0,0,0.75,3.22,0,0.61,1.31,2.55
 36-46,0,0,0,0,0,1.93,0,0,0,0
 48-58,0,0.89,0,0.41,0,1.24,0,0,0,0.72
 60-70,0,1.79,0,0,0,1.06,0,0,0,0
 72-82,0,0,0,1,0,0,0,0,0,0
108-118,0,0,0,0,0,1.47,0,0.72,0,0
120,0,0,1.62,0,0,0,0,0,0,0
