stage,blastomeres,eye,glial,immune,mesenchyme,neural,pgc,spinal_cord,vasculature
  3-4,14.28,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.73,0,0,0
 14-21,0,0,0,0,0,1.06,0,0,0
 24-34,0,0.74,0,0,0,0,0,0.81,0
 36-46,0,0,0,0,0,5.27,0,0,0
 48-58,0,0,0,0,0.42,0.37,0,0,0
 72-82,0,5.07,0.64,0,1.19,10.61,0,0,0
 84-94,0,1.1,0,0,2.35,5.2,0,0,6.52
 96-106,0,0.67,2.97,0,0,8.59,0,0,0
108-118,0,0,1.97,0,0,0,0,0,0.78
120,0,7.76,0,1.96,0,0,2.5,0,0
