stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,139.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,286.87,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0
  7-9,4.87,16.71,0,15.75,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.64,0,0,0,41.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.66,0,0,0,5.99,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,41.86,0,0,0,49.89,0,5.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.64,0,0,1.27,0,0,0,0,0,0,2.74,0,0,0,0,0,5.3,0,0,0.99,22.32,0,0,0,0,0,0.9,5.58,0,2.62,7.18,0,0,0,0
 24-34,0,0,0,1.54,5.63,0,0,10.42,0,0,0,1.06,0,0,0,0,0,0,0,0,6.34,0,0,9.37,60.65,0,5.4,0,0,6.39,0,0,0.7,1.33,10.91,0,1.45,0,0
 36-46,0,0,0,0,1.9,0,0,14.87,1.65,1.06,0,3.06,1.23,0,0,0,0,0,0.57,0,16.42,0,0,1.31,100.29,2.73,2.08,0,0,15.19,0,0,0,0,36.12,0,0,0,0
 48-58,0,0,0.46,0,2.42,0,0,22.01,0,0,0,8.7,0,0,0,0,0,0,1.95,0.43,14.81,0,0,0.87,88.29,5.66,2.47,0,0,9.55,0,0,1.31,0,22.55,0.91,0.45,0,0.72
 60-70,0,0,0,0,0,0.6,0,91.91,0,0,4.85,6.27,6.7,0,0,0,0,0,0,0,23.36,1.46,0.63,1.46,155.19,0,1.47,0,0,8.15,0,0,0,0,10.12,0,0,0,0
 72-82,0,0,0.88,0,0,1.12,0,37.26,0,0,2.95,11.01,1.26,0,0,0.72,0,5.5,0,0,21.52,2.18,4.34,1.5,62.79,0,0,0,0,6.12,0,0,0,0,7.35,0,8.38,0.71,0
 84-94,0,0,0,0,1.27,2.56,0,35.68,1.38,0.59,0,13.58,1.54,0,0,0,0,0,0,0,21.18,0,1.78,0,51.21,0,0,4.05,0,13.34,0,0,0,0,8.88,0,2.86,0,0
 96-106,0,0,0,0,1.49,12.11,0,25.14,0,0,3.65,7.98,0,0,2.79,0,0.81,0,0,0,11.34,2.99,4.8,0,68.13,0,0,0.77,0,7.27,0,0,0,0,4.98,2.94,1.32,2.52,0
108-118,0,0,0,0,4.11,8.51,0,13.83,0,4.76,1.75,3.98,0,0,0,0,0.91,0,0,0.61,17.34,0,1.83,2.29,70.53,0,0.61,1.84,0,7.77,0,0,0,0,2.52,0,2.26,0,0
120,0,0,0,0,11.08,0,2.35,18.07,0,0,0,55.98,0,0,0,15.13,1.29,1.58,0,0,10.64,0,0,1.46,74.06,1.33,0,0,0,10.57,0,0,1.74,0,1.95,0,1.96,0,0
