stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0
  5-6,46.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,42.65,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.35,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.52,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.08,1.09,0.81,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,2.37,32.76,0,0,0,0,0,0,2.24,0,0,1.04,17.09,0,0,0,0,0
 24-34,0,0,1.49,0,5.77,0,0,0.7,0.63,0,0,2.46,0,0.68,0,0,4.98,0,0,1.63,79.68,0.64,2.95,0.98,0,0,3.05,0,0.85,0,3.59,13.22,0,0,0.96,0,1.99
 36-46,0,0,3.94,0,7.16,3.05,0,0,2.44,0,0,0,0,0,0,0,5.06,0,0,0.9,69.81,0,0,0,0,0,1.82,0,0.56,0,0,27.43,0,0,0,0,0
 48-58,0,0,0,0,18.48,0,0,0,2.05,0,0,0,0,0,0,0.59,15.23,0.52,0,0.87,72.22,0.5,1.54,0,0,0,4.53,0,0,3.46,0,27.33,0,0,0.93,0,0
 60-70,0,0,0,0,24.17,0,0,0,8.5,0,0,0,0.72,0.61,0,0,8.14,0,1.46,0,52.58,0,0,0,0,0,1.81,0,1.19,0,0,6.39,0,0,0.7,0,0
 72-82,0,0,0,0,45.33,0,0,2.84,7.35,0,0,0,2.42,0,0.79,0,6.93,0,2.79,0,45.69,0,0,0,0,0,0,0,0,0,0,17.38,0.88,0,0.65,0.71,0
 84-94,0,0,0.7,4.28,40.4,0,2.76,1.09,12.06,0.66,0,0,3.93,0,0,0,25.46,0,0.83,0.68,60.48,0,0,6.38,0,0,12.78,0,0,0,0,0,0,0,11.53,0.64,0
 96-106,0,0,0,16.99,24.74,0,0,0,8.66,0,0,0.96,6.58,0,0.75,0,20.64,0,0,9.97,32.17,0,1.94,1.96,0,1.54,1.25,0,0,0,0,5.31,0,0,14.21,0,0
108-118,0,0,2.25,3.85,15.47,0,0.99,0,2.02,0,0,0,8.76,1.11,0,0,10.75,0,0,0.42,45.09,0,1.83,0,0,0,1.28,0,0,0,0,1,0.43,2.41,9.13,0,0
120,0,0,0,0,19.56,0,0,0,0,0,0,0,10.94,0,0,0,13.77,0,10.83,0,52.48,4.62,0,0,0,0,1.63,0,0,0,0,1.57,0,0,1.66,0,0
