stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0
  5-6,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.62,11.01,0,0,10.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,36.47,0,0,0,5.93,0,0,0,0,0,0,0,0,0
 10-12,5.74,76.39,0,0,4.05,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,72.84,0,0,0,21.7,0,0,0,0,0,0,0,0,0
 14-21,0,0.93,6.18,0,0.91,0,0,0,0.95,0,0,0,0,0,0,0,5.92,0,1.05,20.31,0,0,0,0,0,2.1,1.83,0,4.95,0,0,0,0
 24-34,0,0,1.78,0.87,1.04,0,0,0,0,0,0,0,0,0,0,0,7.82,1.21,8.15,36.93,0,0,2.46,0,0,1.07,0,1.4,8.92,0,5.9,0,0
 36-46,0,0,0,0.75,6.02,0,0,0,8.59,0,0,0.99,0,0,0,0,25.09,0,4.06,25.51,0,0,0,0,0,3.08,0,0,10.83,0,4.21,0,0
 48-58,0,0,0,0,2.92,0.73,0,0.48,4.13,0,0,0,0,0,0,0.41,30.18,0,3.77,10.55,0,0,0,0,0,0.38,0,0,9.79,0.64,1.78,0,0
 60-70,0,0,0,0,6.59,0,0,0,11.44,0,0,0,0,0,0,0,42.86,0.78,0,4.83,0,1.1,0,0,0,0,0,0,5.16,1.41,8.01,0,0.7
 72-82,0,0,1.86,3.24,2.79,0,0,0,21.55,1.04,0,0,3.5,0.83,0.63,0,35.44,7.4,2.96,6.87,0,0,0,0,0,1.39,0,0,2.52,1.79,4.41,0,2.84
 84-94,0,0,6.38,4.69,11.96,0,0,0.69,11.15,0,0,0,2.02,2.9,0,0,44.32,0,2.44,4.26,0,0.56,0,0,0,0,0,0,0.85,1.04,8.17,0.87,0.62
 96-106,0,0,4.16,7.11,8.72,0,0.93,0.69,13.4,1.38,0,0,2.97,0,0,0,40.31,0,0.93,9.55,0,0,0,0,2.97,0.73,0,0,0,0,3.14,4.55,0
108-118,0,0,2.35,2.12,5.56,0,0,5.24,4.59,0,0,0,3.35,0,1.62,0,55.95,1.69,1.8,3.39,1.24,0,3.11,0,0,0,0,0,0,0.54,3.29,0,2.38
120,0,0,0,0,1.38,0,0,0,15.3,0,0,0,3.37,0,0,3.89,37.01,0,11.43,9.73,0,0,0,0,18.18,0,0,0,0,2.41,0,10.63,0
